"";"numParish";"numDistrict";"authAll";"authMen";"authWomen";"authMenRel";"authWomenRel"
"1";101;1;779;383;396;49,1655969191271;50,8344030808729
"2";102;1;859;428;431;49,825378346915;50,174621653085
"3";103;1;792;395;397;49,8737373737374;50,1262626262626
"4";104;1;793;407;386;51,3240857503153;48,6759142496847
"5";201;2;901;439;462;48,7236403995561;51,276359600444
"6";202;2;946;439;507;46,4059196617336;53,5940803382664
"7";203;2;772;365;407;47,279792746114;52,720207253886
"8";204;2;809;399;410;49,3201483312732;50,6798516687268
"9";205;2;852;399;453;46,830985915493;53,169014084507
"10";206;2;911;444;467;48,7376509330406;51,2623490669594
"11";207;2;860;419;441;48,7209302325581;51,2790697674419
"12";208;2;791;359;432;45,385587863464;54,614412136536
"13";209;2;950;441;509;46,4210526315789;53,578947368421
"14";210;2;827;390;437;47,1584038694075;52,8415961305925
"15";211;2;919;444;475;48,3133841131665;51,6866158868335
"16";212;2;911;439;472;48,1888035126235;51,8111964873765
"17";213;2;939;472;467;50,2662406815761;49,7337593184239
"18";214;2;1037;506;531;48,794599807136;51,205400192864
"19";215;2;720;282;438;39,1666666666667;60,8333333333333
"20";301;3;940;429;511;45,6382978723404;54,3617021276596
"21";302;3;855;395;460;46,1988304093567;53,8011695906433
"22";303;3;873;417;456;47,766323024055;52,233676975945
"23";304;3;786;336;450;42,7480916030534;57,2519083969466
"24";305;3;883;369;514;41,7893544733862;58,2106455266138
"25";306;3;843;376;467;44,6026097271649;55,3973902728351
"26";307;3;849;370;479;43,5806831566549;56,4193168433451
"27";308;3;837;407;430;48,626045400239;51,373954599761
"28";309;3;825;372;453;45,0909090909091;54,9090909090909
"29";310;3;799;375;424;46,9336670838548;53,0663329161452
"30";311;3;809;371;438;45,8590852904821;54,1409147095179
"31";312;3;739;309;430;41,8132611637348;58,1867388362652
"32";313;3;901;409;492;45,3940066592675;54,6059933407325
"33";314;3;899;411;488;45,7174638487208;54,2825361512792
"34";315;3;876;410;466;46,8036529680365;53,1963470319635
"35";316;3;773;332;441;42,9495472186287;57,0504527813713
"36";317;3;1053;453;600;43,019943019943;56,980056980057
"37";318;3;711;314;397;44,1631504922644;55,8368495077356
"38";319;3;837;402;435;48,0286738351254;51,9713261648746
"39";320;3;676;314;362;46,4497041420118;53,5502958579882
"40";321;3;923;414;509;44,8537378114843;55,1462621885157
"41";322;3;621;284;337;45,7326892109501;54,2673107890499
"42";323;3;860;383;477;44,5348837209302;55,4651162790698
"43";324;3;769;321;448;41,7425227568271;58,2574772431729
"44";401;4;774;392;382;50,6459948320413;49,3540051679587
"45";402;4;728;353;375;48,489010989011;51,510989010989
"46";403;4;627;292;335;46,5709728867624;53,4290271132376
"47";404;4;1188;611;577;51,4309764309764;48,5690235690236
"48";405;4;711;337;374;47,3980309423347;52,6019690576653
"49";406;4;825;412;413;49,9393939393939;50,0606060606061
"50";407;4;699;360;339;51,5021459227468;48,4978540772532
"51";408;4;737;343;394;46,5400271370421;53,4599728629579
"52";409;4;640;292;348;45,625;54,375
"53";410;4;897;412;485;45,9308807134894;54,0691192865106
"54";411;4;757;351;406;46,3672391017173;53,6327608982827
"55";412;4;794;389;405;48,992443324937;51,007556675063
"56";413;4;855;424;431;49,5906432748538;50,4093567251462
"57";414;4;677;323;354;47,7104874446086;52,2895125553914
"58";415;4;1141;541;600;47,4145486415425;52,5854513584575
"59";416;4;566;237;329;41,8727915194346;58,1272084805654
"60";417;4;752;328;424;43,6170212765958;56,3829787234042
"61";418;4;625;266;359;42,56;57,44
"62";419;4;959;447;512;46,6110531803962;53,3889468196038
"63";420;4;767;379;388;49,4132985658409;50,5867014341591
"64";421;4;1359;690;669;50,7726269315673;49,2273730684327
"65";422;4;785;383;402;48,7898089171975;51,2101910828025
