"";"numParish";"numDistrict";"allVotes";"validVotes";"unvalidVotes";"validVotesRel";"unvalidVotesRel";"electionPartRel"
"1";101;1;340;337;3;99,1176470588235;0,882352941176471;43,6456996148909
"12";102;1;393;387;6;98,4732824427481;1,52671755725191;45,7508731082654
"23";103;1;382;373;9;97,6439790575916;2,35602094240838;48,2323232323232
"34";104;1;370;368;2;99,4594594594595;0,540540540540541;46,6582597730139
"45";201;2;383;380;3;99,2167101827676;0,783289817232376;42,5083240843507
"56";202;2;485;479;6;98,7628865979381;1,23711340206186;51,2684989429176
"67";203;2;413;409;4;99,0314769975787;0,968523002421308;53,4974093264249
"78";204;2;438;428;10;97,7168949771689;2,28310502283105;54,1409147095179
"89";205;2;399;398;1;99,749373433584;0,25062656641604;46,830985915493
"100";206;2;453;444;9;98,0132450331126;1,98675496688742;49,7255762897914
"111";207;2;430;424;6;98,6046511627907;1,3953488372093;50
"122";208;2;468;464;4;99,1452991452991;0,854700854700855;59,165613147914
"133";209;2;430;424;6;98,6046511627907;1,3953488372093;45,2631578947368
"144";210;2;443;432;11;97,5169300225734;2,48306997742664;53,5671100362757
"155";211;2;413;395;18;95,6416464891041;4,35835351089588;44,9401523394995
"166";212;2;378;369;9;97,6190476190476;2,38095238095238;41,4928649835346
"177";213;2;417;411;6;98,5611510791367;1,43884892086331;44,408945686901
"188";214;2;462;450;12;97,4025974025974;2,5974025974026;44,5515911282546
"199";215;2;342;339;3;99,1228070175439;0,87719298245614;47,5
"210";301;3;375;374;1;99,7333333333333;0,266666666666667;39,8936170212766
"221";302;3;360;356;4;98,8888888888889;1,11111111111111;42,1052631578947
"232";303;3;356;351;5;98,5955056179775;1,40449438202247;40,7789232531501
"243";304;3;368;363;5;98,6413043478261;1,35869565217391;46,8193384223919
"254";305;3;408;404;4;99,0196078431373;0,980392156862745;46,2061155152888
"265";306;3;424;420;4;99,0566037735849;0,943396226415094;50,2965599051008
"276";307;3;391;388;3;99,23273657289;0,767263427109974;46,0541813898704
"287";308;3;420;409;11;97,3809523809524;2,61904761904762;50,179211469534
"298";309;3;415;408;7;98,3132530120482;1,68674698795181;50,3030303030303
"309";310;3;399;396;3;99,2481203007519;0,75187969924812;49,9374217772215
"320";311;3;480;475;5;98,9583333333333;1,04166666666667;59,3325092707046
"331";312;3;378;377;1;99,7354497354497;0,264550264550265;51,1502029769959
"342";313;3;438;435;3;99,3150684931507;0,684931506849315;48,6126526082131
"353";314;3;418;415;3;99,2822966507177;0,717703349282297;46,496106785317
"364";315;3;474;470;4;99,1561181434599;0,843881856540084;54,1095890410959
"375";316;3;360;358;2;99,4444444444444;0,555555555555556;46,5717981888745
"386";317;3;560;530;30;94,6428571428571;5,35714285714286;53,1813865147199
"397";318;3;356;354;2;99,438202247191;0,561797752808989;50,070323488045
"408";319;3;404;393;11;97,2772277227723;2,72277227722772;48,2676224611709
"419";320;3;369;366;3;99,1869918699187;0,813008130081301;54,585798816568
"430";321;3;472;462;10;97,8813559322034;2,11864406779661;51,1375947995666
"441";322;3;379;372;7;98,1530343007915;1,84696569920844;61,0305958132045
"452";323;3;428;424;4;99,0654205607477;0,934579439252336;49,7674418604651
"463";324;3;344;343;1;99,7093023255814;0,290697674418605;44,7334200260078
"474";401;4;344;336;8;97,6744186046512;2,32558139534884;44,4444444444444
"485";402;4;353;349;4;98,8668555240793;1,13314447592068;48,489010989011
"496";403;4;274;266;8;97,0802919708029;2,91970802919708;43,7001594896332
"507";404;4;426;418;8;98,1220657276995;1,87793427230047;35,8585858585859
"518";405;4;249;246;3;98,7951807228916;1,20481927710843;35,0210970464135
"529";406;4;293;291;2;99,3174061433447;0,68259385665529;35,5151515151515
"540";407;4;294;293;1;99,6598639455782;0,340136054421769;42,0600858369099
"551";408;4;334;328;6;98,2035928143712;1,79640718562874;45,3188602442334
"562";409;4;297;294;3;98,989898989899;1,01010101010101;46,40625
"573";410;4;467;441;26;94,4325481798715;5,56745182012848;52,0624303232999
"584";411;4;389;384;5;98,7146529562982;1,2853470437018;51,3870541611625
"595";412;4;341;336;5;98,533724340176;1,46627565982405;42,9471032745592
"606";413;4;303;294;9;97,029702970297;2,97029702970297;35,4385964912281
"617";414;4;311;311;0;100;0;45,9379615952733
"628";415;4;457;453;4;99,1247264770241;0,87527352297593;40,0525854513585
"639";416;4;239;237;2;99,163179916318;0,836820083682008;42,226148409894
"650";417;4;255;255;0;100;0;33,9095744680851
"661";418;4;288;286;2;99,3055555555556;0,694444444444444;46,08
"672";419;4;371;367;4;98,921832884097;1,07816711590297;38,6861313868613
"683";420;4;285;285;0;100;0;37,1577574967405
"694";421;4;499;494;5;98,997995991984;1,00200400801603;36,7181751287712
"705";422;4;317;300;17;94,6372239747634;5,36277602523659;40,3821656050955
"716";423;4;340;337;3;99,1176470588235;0,882352941176471;48,2269503546099
"727";424;4;317;315;2;99,3690851735016;0,630914826498423;39,4278606965174
"738";425;4;288;285;3;98,9583333333333;1,04166666666667;42,8571428571429
"749";426;4;440;436;4;99,0909090909091;0,909090909090909;55,1378446115288
"760";501;5;364;360;4;98,9010989010989;1,0989010989011;39,86856516977
"771";502;5;374;370;4;98,9304812834225;1,06951871657754;34,9532710280374
"782";503;5;370;363;7;98,1081081081081;1,89189189189189;43,3763188745604
"793";504;5;305;283;22;92,7868852459016;7,21311475409836;39,9214659685864
"804";505;5;207;202;5;97,5845410628019;2,41545893719807;32,093023255814
"815";506;5;277;262;15;94,5848375451263;5,41516245487365;35,6041131105398
"826";507;5;293;289;4;98,6348122866894;1,36518771331058;37,3724489795918
"837";508;5;318;315;3;99,0566037735849;0,943396226415094;34,8684210526316
"848";509;5;209;206;3;98,5645933014354;1,43540669856459;25,211097708082
"859";510;5;293;291;2;99,3174061433447;0,68259385665529;38,3507853403141
"870";511;5;348;339;9;97,4137931034483;2,58620689655172;48,7394957983193
"881";512;5;265;257;8;96,9811320754717;3,0188679245283;34,4603381014304
"892";513;5;244;241;3;98,7704918032787;1,22950819672131;32,751677852349
"903";514;5;323;321;2;99,3808049535604;0,619195046439629;45,4289732770745
"914";515;5;240;236;4;98,3333333333333;1,66666666666667;33,7552742616034
"925";516;5;318;315;3;99,0566037735849;0,943396226415094;45,6241032998565
"936";517;5;167;162;5;97,0059880239521;2,9940119760479;27,5577557755776
"947";518;5;348;328;20;94,2528735632184;5,74712643678161;45,5497382198953
"958";519;5;212;208;4;98,1132075471698;1,88679245283019;36,551724137931
"969";520;5;247;246;1;99,5951417004049;0,404858299595142;39,52
"980";521;5;225;223;2;99,1111111111111;0,888888888888889;34,6153846153846
"991";522;5;267;265;2;99,250936329588;0,749063670411985;46,5968586387435
"1002";523;5;303;302;1;99,6699669966997;0,33003300330033;49,5098039215686
