"";"numDistrict";"SPOEabs";"OEVPabs";"FPOEabs";"GRUENEabs";"KPOEabs";"BZOEabs";"CPGabs";"PIRATabs";"ESKabs";"BBBabs";"WIRabs";"SPOErel";"OEVPrel";"FPOErel";"GRUENErel";"KPOErel";"BZOErel";"CPGrel";"PIRATrel";"ESKrel";"BBBrel";"WIRrel";"population";"area";"popDensity"
"1";1;152;451;158;242;351;21;6;73;1;4;6;10,3754266211604;30,7849829351536;10,7849829351536;16,518771331058;23,9590443686007;1,43344709897611;0,409556313993174;4,98293515358362;0,068259385665529;0,273037542662116;0,409556313993174;4501;1161664;3874,61434631701
"2";2;639;2143;569;1169;1329;54;38;258;21;17;9;10,2305475504323;34,309958373359;9,10983029138649;18,7159782260647;21,2776176753122;0,864553314121038;0,608389369196286;4,13064361191162;0,336215177713737;0,272174191482549;0,144092219020173;18029;1833170;9834,87619806128
"3";3;1053;3435;935;1680;1984;94;53;330;23;25;31;10,9198382246189;35,6216944934149;9,69615264959038;17,4219641190501;20,5745100072592;0,974800373327802;0,54962148708908;3,42217152338484;0,238514984963186;0,259255418438245;0,321476718863424;28274;5504518;5136,50786499381
"4";4;1662;2202;1397;954;2020;112;27;222;8;13;20;19,2427926363321;25,4949635290031;16,174597661225;11,0455019103856;23,3877503762881;1,29674655551696;0,312608544633553;2,57033692254255;0,0926247539654973;0,150515225193933;0,231561884913743;32879;3704667;8875,02169560719
"5";5;1126;1694;1027;686;1731;76;25;203;8;13;16;17,0476911430734;25,6472369417108;15,5488266464799;10,3860711582135;26,2074186222559;1,15064345193036;0,378501135503407;3,07342922028766;0,12112036336109;0,196820590461771;0,24224072672218;29121;5057753;5757,69516621314
"6";6;1566;2862;1404;1380;2696;134;46;344;28;20;20;14,9142857142857;27,2571428571429;13,3714285714286;13,1428571428571;25,6761904761905;1,27619047619048;0,438095238095238;3,27619047619048;0,266666666666667;0,19047619047619;0,19047619047619;35952;4060911;8853,18589843511
"7";7;1072;1845;928;324;887;73;17;91;8;9;13;20,3531422061895;35,0294285171825;17,6191380292387;6,15150939813936;16,8407062844124;1,38598822859313;0,322764382001139;1,72773875071198;0,151889120941713;0,170875261059427;0,246819821530283;14322;7979114;1794,93612950009
"8";8;804;2628;807;926;1109;86;20;177;12;14;24;12,1689117602543;39,775995156652;12,2143181474194;14,0154381716361;16,7852277887089;1,30164976540033;0,302709247767519;2,67897684274255;0,181625548660512;0,211896473437264;0,363251097321023;15787;8858179;1782,19473776721
"9";9;548;2299;694;673;902;69;28;135;7;4;20;10,187767242982;42,7402862985685;12,9020263989589;12,5116192600855;16,7689161554192;1,28276631344116;0,520542851831195;2,50976017847184;0,130135712957799;0,0743632645473136;0,371816322736568;13139;4479334;2933,24855882593
"10";10;318;1044;278;326;436;41;21;68;0;4;10;12,4901806755695;41,0054988216811;10,9190887666929;12,8043990573449;17,1249018067557;1,61036920659859;0,824823252160251;2,67085624509034;0;0,157109190887667;0,392772977219167;6560;10033190;653,829938434336
"11";11;375;1904;392;595;674;38;29;114;10;4;7;9,05359729599227;45,9681313375181;9,46402704007726;14,3650410429744;16,2723322066634;0,917431192660551;0,700144857556736;2,75229357798165;0,241429261226461;0,0965717044905842;0,169000482858522;10603;14113083;751,288715583973
"12";12;1504;3175;985;981;1519;129;93;204;15;14;23;17,403378847489;36,7391807451979;11,3978245776441;11,3515389956029;17,5769497801435;1,49271002082851;1,07613978245776;2,3605646841009;0,173570932654478;0,16199953714418;0,266142096736866;19925;18455010;1079,65262549302
"13";13;775;1126;686;258;669;90;21;72;5;3;10;20,8613728129206;30,3095558546433;18,4656796769852;6,94481830417227;18,0080753701211;2,42261103633917;0,565275908479139;1,93808882907133;0,134589502018843;0,0807537012113055;0,269179004037685;11490;10836471;1060,30828671068
"14";14;1180;2057;1226;636;1340;92;38;180;12;13;22;17,3631547969394;30,2678045909358;18,0400235432607;9,35844614479105;19,7174808711006;1,35373749264273;0,559152442613302;2,64861683343143;0,176574455562095;0,191288993525603;0,323719835197175;20754;7791283;2663,74613783121
"15";15;1123;1723;1056;361;1130;95;20;91;9;10;12;19,9467140319716;30,6039076376554;18,7566607460036;6,41207815275311;20,0710479573712;1,68738898756661;0,355239786856128;1,61634103019538;0,159857904085258;0,177619893428064;0,213143872113677;15236;5770361;2640,38939678124
"16";16;1149;1906;1006;333;1026;84;41;100;8;4;14;20,2609769000176;33,6095926644331;17,7393757714689;5,87198025039676;18,0920472579792;1,48122024334333;0,722976547346147;1,76335743255158;0,141068594604126;0,0705342973020631;0,246870040557221;15457;11756419;1314,77110504483
"17";17;494;814;549;181;429;54;17;59;2;3;14;18,8837920489297;31,1162079510703;20,9862385321101;6,91896024464832;16,3990825688073;2,06422018348624;0,649847094801223;2,25535168195719;0,0764525993883792;0,114678899082569;0,535168195718654;7973;6181961;1289,72020367
