"";"numParish";"numDistrict";"SPOEabs";"OEVPabs";"FPOEabs";"GRUENEabs";"KPOEabs";"BZOEabs";"CPGabs";"PIRATabs";"ESKabs";"BBBabs";"WIRabs";"SPOErel";"OEVPrel";"FPOErel";"GRUENErel";"KPOErel";"BZOErel";"CPGrel";"PIRATrel";"ESKrel";"BBBrel";"WIRrel"
"1";101;1;43;104;32;45;85;8;1;18;1;0;0;12,7596439169139;30,8605341246291;9,49554896142433;13,353115727003;25,2225519287834;2,37388724035608;0,29673590504451;5,34124629080119;0,29673590504451;0;0
"12";102;1;41;113;46;71;88;3;1;21;0;1;2;10,594315245478;29,1989664082687;11,8863049095607;18,3462532299742;22,7390180878553;0,775193798449612;0,258397932816538;5,42635658914729;0;0,258397932816538;0,516795865633075
"23";103;1;33;129;41;60;86;5;2;16;0;0;1;8,84718498659517;34,5844504021448;10,9919571045576;16,0857908847185;23,0563002680965;1,34048257372654;0,536193029490617;4,28954423592493;0;0;0,268096514745308
"34";104;1;35;105;39;66;92;5;2;18;0;3;3;9,51086956521739;28,5326086956522;10,5978260869565;17,9347826086957;25;1,35869565217391;0,543478260869565;4,89130434782609;0;0,815217391304348;0,815217391304348
"45";201;2;43;125;48;49;91;6;2;14;0;0;2;11,3157894736842;32,8947368421053;12,6315789473684;12,8947368421053;23,9473684210526;1,57894736842105;0,526315789473684;3,68421052631579;0;0;0,526315789473684
"56";202;2;55;164;54;66;112;2;3;20;0;1;2;11,482254697286;34,2379958246347;11,2734864300626;13,7787056367432;23,3820459290188;0,417536534446764;0,626304801670146;4,17536534446764;0;0,208768267223382;0,417536534446764
"67";203;2;60;134;52;59;80;5;1;14;1;2;1;14,6699266503667;32,7628361858191;12,7139364303178;14,4254278728606;19,559902200489;1,22249388753056;0,244498777506112;3,42298288508557;0,244498777506112;0,488997555012225;0,244498777506112
"78";204;2;42;133;43;94;82;0;2;22;4;5;1;9,81308411214953;31,0747663551402;10,0467289719626;21,9626168224299;19,1588785046729;0;0,467289719626168;5,14018691588785;0,934579439252336;1,16822429906542;0,233644859813084
"89";205;2;44;144;36;66;87;4;3;12;2;0;0;11,0552763819095;36,1809045226131;9,04522613065327;16,5829145728643;21,8592964824121;1,00502512562814;0,753768844221105;3,01507537688442;0,50251256281407;0;0
"100";206;2;37;145;32;97;100;3;3;24;0;3;0;8,33333333333333;32,6576576576577;7,20720720720721;21,8468468468468;22,5225225225225;0,675675675675676;0,675675675675676;5,40540540540541;0;0,675675675675676;0
"111";207;2;42;139;39;107;78;3;2;12;2;0;0;9,90566037735849;32,7830188679245;9,19811320754717;25,2358490566038;18,3962264150943;0,707547169811321;0,471698113207547;2,83018867924528;0,471698113207547;0;0
"122";208;2;42;143;32;115;107;4;2;17;1;1;0;9,05172413793103;30,8189655172414;6,89655172413793;24,7844827586207;23,0603448275862;0,862068965517241;0,431034482758621;3,66379310344828;0,21551724137931;0,21551724137931;0
"133";209;2;48;175;47;50;79;4;3;17;0;1;0;11,3207547169811;41,2735849056604;11,0849056603774;11,7924528301887;18,6320754716981;0,943396226415094;0,707547169811321;4,00943396226415;0;0,235849056603774;0
"144";210;2;42;129;40;102;94;3;2;16;2;2;0;9,72222222222222;29,8611111111111;9,25925925925926;23,6111111111111;21,7592592592593;0,694444444444444;0,462962962962963;3,7037037037037;0,462962962962963;0,462962962962963;0
"155";211;2;41;147;33;71;78;5;2;13;3;1;1;10,379746835443;37,2151898734177;8,35443037974684;17,9746835443038;19,746835443038;1,26582278481013;0,506329113924051;3,29113924050633;0,759493670886076;0,253164556962025;0,253164556962025
"166";212;2;40;117;33;58;100;3;3;14;1;0;0;10,840108401084;31,7073170731707;8,94308943089431;15,7181571815718;27,10027100271;0,813008130081301;0,813008130081301;3,7940379403794;0,2710027100271;0;0
"177";213;2;38;124;28;103;87;5;0;21;3;1;1;9,24574209245742;30,1703163017032;6,81265206812652;25,0608272506083;21,1678832116788;1,21654501216545;0;5,10948905109489;0,72992700729927;0,24330900243309;0,24330900243309
"188";214;2;34;142;29;95;109;4;4;30;2;0;1;7,55555555555556;31,5555555555556;6,44444444444444;21,1111111111111;24,2222222222222;0,888888888888889;0,888888888888889;6,66666666666667;0,444444444444444;0;0,222222222222222
"199";215;2;31;182;23;37;45;3;6;12;0;0;0;9,14454277286136;53,6873156342183;6,78466076696165;10,9144542772861;13,2743362831858;0,884955752212389;1,76991150442478;3,53982300884956;0;0;0
"210";301;3;39;145;28;59;75;7;1;16;0;1;3;10,427807486631;38,7700534759358;7,48663101604278;15,7754010695187;20,0534759358289;1,8716577540107;0,267379679144385;4,27807486631016;0;0,267379679144385;0,802139037433155
"221";302;3;24;99;29;86;93;5;2;14;2;1;1;6,74157303370786;27,8089887640449;8,14606741573034;24,1573033707865;26,123595505618;1,40449438202247;0,561797752808989;3,93258426966292;0,561797752808989;0,280898876404494;0,280898876404494
"232";303;3;38;142;21;69;60;3;1;15;0;1;1;10,8262108262108;40,4558404558405;5,98290598290598;19,6581196581197;17,0940170940171;0,854700854700855;0,284900284900285;4,27350427350427;0;0,284900284900285;0,284900284900285
"243";304;3;42;136;38;60;67;5;2;10;0;2;1;11,5702479338843;37,465564738292;10,4683195592287;16,5289256198347;18,4573002754821;1,37741046831956;0,550964187327824;2,75482093663912;0;0,550964187327824;0,275482093663912
"254";305;3;51;131;48;72;72;5;2;19;1;1;2;12,6237623762376;32,4257425742574;11,8811881188119;17,8217821782178;17,8217821782178;1,23762376237624;0,495049504950495;4,7029702970297;0,247524752475248;0,247524752475248;0,495049504950495
"265";306;3;29;189;41;64;75;3;2;12;2;2;1;6,90476190476191;45;9,76190476190476;15,2380952380952;17,8571428571429;0,714285714285714;0,476190476190476;2,85714285714286;0,476190476190476;0,476190476190476;0,238095238095238
"276";307;3;40;120;28;95;88;6;5;5;0;1;0;10,3092783505155;30,9278350515464;7,21649484536082;24,4845360824742;22,680412371134;1,54639175257732;1,28865979381443;1,28865979381443;0;0,257731958762887;0
"287";308;3;54;126;34;75;97;8;0;14;0;1;0;13,2029339853301;30,8068459657702;8,31295843520782;18,3374083129584;23,7163814180929;1,9559902200489;0;3,42298288508557;0;0,244498777506112;0
