wkurz;sprengel;wahlbe_gesamt;wahlbe_mann;wahlbe_frau
GRGRAZ12;0101;779;383;396
GRGRAZ12;0102;859;428;431
GRGRAZ12;0103;792;395;397
GRGRAZ12;0104;793;407;386
GRGRAZ12;0201;901;439;462
GRGRAZ12;0202;946;439;507
GRGRAZ12;0203;772;365;407
GRGRAZ12;0204;809;399;410
GRGRAZ12;0205;852;399;453
GRGRAZ12;0206;911;444;467
GRGRAZ12;0207;860;419;441
GRGRAZ12;0208;791;359;432
GRGRAZ12;0209;950;441;509
GRGRAZ12;0210;827;390;437
GRGRAZ12;0211;919;444;475
GRGRAZ12;0212;911;439;472
GRGRAZ12;0213;939;472;467
GRGRAZ12;0214;1037;506;531
GRGRAZ12;0215;720;282;438
GRGRAZ12;0301;940;429;511
GRGRAZ12;0302;855;395;460
GRGRAZ12;0303;873;417;456
GRGRAZ12;0304;786;336;450
GRGRAZ12;0305;883;369;514
GRGRAZ12;0306;843;376;467
GRGRAZ12;0307;849;370;479
GRGRAZ12;0308;837;407;430
GRGRAZ12;0309;825;372;453
GRGRAZ12;0310;799;375;424
GRGRAZ12;0311;809;371;438
GRGRAZ12;0312;739;309;430
GRGRAZ12;0313;901;409;492
GRGRAZ12;0314;899;411;488
GRGRAZ12;0315;876;410;466
GRGRAZ12;0316;773;332;441
GRGRAZ12;0317;1053;453;600
GRGRAZ12;0318;711;314;397
GRGRAZ12;0319;837;402;435
GRGRAZ12;0320;676;314;362
GRGRAZ12;0321;923;414;509
GRGRAZ12;0322;621;284;337
GRGRAZ12;0323;860;383;477
GRGRAZ12;0324;769;321;448
GRGRAZ12;0401;774;392;382
GRGRAZ12;0402;728;353;375
GRGRAZ12;0403;627;292;335
GRGRAZ12;0404;1188;611;577
GRGRAZ12;0405;711;337;374
GRGRAZ12;0406;825;412;413
GRGRAZ12;0407;699;360;339
GRGRAZ12;0408;737;343;394
GRGRAZ12;0409;640;292;348
GRGRAZ12;0410;897;412;485
GRGRAZ12;0411;757;351;406
GRGRAZ12;0412;794;389;405
GRGRAZ12;0413;855;424;431
GRGRAZ12;0414;677;323;354
GRGRAZ12;0415;1141;541;600
GRGRAZ12;0416;566;237;329
GRGRAZ12;0417;752;328;424
GRGRAZ12;0418;625;266;359
GRGRAZ12;0419;959;447;512
GRGRAZ12;0420;767;379;388
GRGRAZ12;0421;1359;690;669
GRGRAZ12;0422;785;383;402
GRGRAZ12;0423;705;337;368
GRGRAZ12;0424;804;384;420
GRGRAZ12;0425;672;302;370
GRGRAZ12;0426;798;361;437
GRGRAZ12;0501;913;459;454
GRGRAZ12;0502;1070;508;562
GRGRAZ12;0503;853;405;448
GRGRAZ12;0504;764;355;409
GRGRAZ12;0505;645;336;309
GRGRAZ12;0506;778;381;397
GRGRAZ12;0507;784;404;380
GRGRAZ12;0508;912;463;449
GRGRAZ12;0509;829;388;441
GRGRAZ12;0510;764;398;366
GRGRAZ12;0511;714;355;359
GRGRAZ12;0512;769;388;381
GRGRAZ12;0513;745;410;335
GRGRAZ12;0514;711;367;344
GRGRAZ12;0515;711;359;352
GRGRAZ12;0516;697;346;351
GRGRAZ12;0517;606;299;307
GRGRAZ12;0518;764;389;375
GRGRAZ12;0519;580;271;309
GRGRAZ12;0520;625;332;293
GRGRAZ12;0521;650;330;320
GRGRAZ12;0522;573;248;325
GRGRAZ12;0523;612;292;320
GRGRAZ12;0524;690;369;321
GRGRAZ12;0601;884;420;464
GRGRAZ12;0602;896;442;454
GRGRAZ12;0603;832;388;444
GRGRAZ12;0604;802;396;406
GRGRAZ12;0605;819;415;404
GRGRAZ12;0606;868;421;447
GRGRAZ12;0607;928;456;472
GRGRAZ12;0608;859;437;422
GRGRAZ12;0609;836;396;440
GRGRAZ12;0610;716;351;365
GRGRAZ12;0611;949;497;452
GRGRAZ12;0612;760;382;378
