wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
GRGRAZ12;0100;Innere Stadt;SPÖ;Sozialdemokratische Partei Österreichs;1;1485;20;1465;152;4
GRGRAZ12;0100;Innere Stadt;ÖVP;Österreichische Volkspartei;2;1485;20;1465;451;4
GRGRAZ12;0100;Innere Stadt;FPÖ;Freiheitliche Partei Österreichs;3;1485;20;1465;158;4
GRGRAZ12;0100;Innere Stadt;GRÜNE;Die Grünen - Die Grüne Alternative;4;1485;20;1465;242;4
GRGRAZ12;0100;Innere Stadt;KPÖ;Kommunistische Partei Österreichs;5;1485;20;1465;351;4
GRGRAZ12;0100;Innere Stadt;BZÖ;BZÖ Wir säubern Graz;6;1485;20;1465;21;4
GRGRAZ12;0100;Innere Stadt;CP-G;Christliche Partei-Grössler;7;1485;20;1465;6;4
GRGRAZ12;0100;Innere Stadt;PIRAT;Piratenpartei Graz;8;1485;20;1465;73;4
GRGRAZ12;0100;Innere Stadt;;Einsparkraftwerk;9;1485;20;1465;1;4
GRGRAZ12;0100;Innere Stadt;BBB;Betty Baloo Bande;10;1485;20;1465;4;4
GRGRAZ12;0100;Innere Stadt;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;1485;20;1465;6;4
GRGRAZ12;0200;St Leonhard;SPÖ;Sozialdemokratische Partei Österreichs;1;6354;108;6246;639;15
GRGRAZ12;0200;St Leonhard;ÖVP;Österreichische Volkspartei;2;6354;108;6246;2143;15
GRGRAZ12;0200;St Leonhard;FPÖ;Freiheitliche Partei Österreichs;3;6354;108;6246;569;15
GRGRAZ12;0200;St Leonhard;GRÜNE;Die Grünen - Die Grüne Alternative;4;6354;108;6246;1169;15
GRGRAZ12;0200;St Leonhard;KPÖ;Kommunistische Partei Österreichs;5;6354;108;6246;1329;15
GRGRAZ12;0200;St Leonhard;BZÖ;BZÖ Wir säubern Graz;6;6354;108;6246;54;15
GRGRAZ12;0200;St Leonhard;CP-G;Christliche Partei-Grössler;7;6354;108;6246;38;15
GRGRAZ12;0200;St Leonhard;PIRAT;Piratenpartei Graz;8;6354;108;6246;258;15
GRGRAZ12;0200;St Leonhard;;Einsparkraftwerk;9;6354;108;6246;21;15
GRGRAZ12;0200;St Leonhard;BBB;Betty Baloo Bande;10;6354;108;6246;17;15
GRGRAZ12;0200;St Leonhard;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;6354;108;6246;9;15
GRGRAZ12;0300;Geidorf;SPÖ;Sozialdemokratische Partei Österreichs;1;9776;133;9643;1053;24
GRGRAZ12;0300;Geidorf;ÖVP;Österreichische Volkspartei;2;9776;133;9643;3435;24
GRGRAZ12;0300;Geidorf;FPÖ;Freiheitliche Partei Österreichs;3;9776;133;9643;935;24
GRGRAZ12;0300;Geidorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;9776;133;9643;1680;24
GRGRAZ12;0300;Geidorf;KPÖ;Kommunistische Partei Österreichs;5;9776;133;9643;1984;24
GRGRAZ12;0300;Geidorf;BZÖ;BZÖ Wir säubern Graz;6;9776;133;9643;94;24
GRGRAZ12;0300;Geidorf;CP-G;Christliche Partei-Grössler;7;9776;133;9643;53;24
GRGRAZ12;0300;Geidorf;PIRAT;Piratenpartei Graz;8;9776;133;9643;330;24
GRGRAZ12;0300;Geidorf;;Einsparkraftwerk;9;9776;133;9643;23;24
GRGRAZ12;0300;Geidorf;BBB;Betty Baloo Bande;10;9776;133;9643;25;24
GRGRAZ12;0300;Geidorf;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;9776;133;9643;31;24
GRGRAZ12;0400;Lend;SPÖ;Sozialdemokratische Partei Österreichs;1;8771;134;8637;1662;26
GRGRAZ12;0400;Lend;ÖVP;Österreichische Volkspartei;2;8771;134;8637;2202;26
GRGRAZ12;0400;Lend;FPÖ;Freiheitliche Partei Österreichs;3;8771;134;8637;1397;26
GRGRAZ12;0400;Lend;GRÜNE;Die Grünen - Die Grüne Alternative;4;8771;134;8637;954;26
GRGRAZ12;0400;Lend;KPÖ;Kommunistische Partei Österreichs;5;8771;134;8637;2020;26
GRGRAZ12;0400;Lend;BZÖ;BZÖ Wir säubern Graz;6;8771;134;8637;112;26
GRGRAZ12;0400;Lend;CP-G;Christliche Partei-Grössler;7;8771;134;8637;27;26
GRGRAZ12;0400;Lend;PIRAT;Piratenpartei Graz;8;8771;134;8637;222;26
GRGRAZ12;0400;Lend;;Einsparkraftwerk;9;8771;134;8637;8;26
GRGRAZ12;0400;Lend;BBB;Betty Baloo Bande;10;8771;134;8637;13;26
GRGRAZ12;0400;Lend;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;8771;134;8637;20;26
GRGRAZ12;0500;Gries;SPÖ;Sozialdemokratische Partei Österreichs;1;6741;136;6605;1126;24
GRGRAZ12;0500;Gries;ÖVP;Österreichische Volkspartei;2;6741;136;6605;1694;24
GRGRAZ12;0500;Gries;FPÖ;Freiheitliche Partei Österreichs;3;6741;136;6605;1027;24
GRGRAZ12;0500;Gries;GRÜNE;Die Grünen - Die Grüne Alternative;4;6741;136;6605;686;24
GRGRAZ12;0500;Gries;KPÖ;Kommunistische Partei Österreichs;5;6741;136;6605;1731;24
GRGRAZ12;0500;Gries;BZÖ;BZÖ Wir säubern Graz;6;6741;136;6605;76;24
GRGRAZ12;0500;Gries;CP-G;Christliche Partei-Grössler;7;6741;136;6605;25;24
GRGRAZ12;0500;Gries;PIRAT;Piratenpartei Graz;8;6741;136;6605;203;24
GRGRAZ12;0500;Gries;;Einsparkraftwerk;9;6741;136;6605;8;24
GRGRAZ12;0500;Gries;BBB;Betty Baloo Bande;10;6741;136;6605;13;24
GRGRAZ12;0500;Gries;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;6741;136;6605;16;24
GRGRAZ12;0600;Jakomini;SPÖ;Sozialdemokratische Partei Österreichs;1;10707;207;10500;1566;31
GRGRAZ12;0600;Jakomini;ÖVP;Österreichische Volkspartei;2;10707;207;10500;2862;31
GRGRAZ12;0600;Jakomini;FPÖ;Freiheitliche Partei Österreichs;3;10707;207;10500;1404;31
GRGRAZ12;0600;Jakomini;GRÜNE;Die Grünen - Die Grüne Alternative;4;10707;207;10500;1380;31
GRGRAZ12;0600;Jakomini;KPÖ;Kommunistische Partei Österreichs;5;10707;207;10500;2696;31
GRGRAZ12;0600;Jakomini;BZÖ;BZÖ Wir säubern Graz;6;10707;207;10500;134;31
GRGRAZ12;0600;Jakomini;CP-G;Christliche Partei-Grössler;7;10707;207;10500;46;31
GRGRAZ12;0600;Jakomini;PIRAT;Piratenpartei Graz;8;10707;207;10500;344;31
GRGRAZ12;0600;Jakomini;;Einsparkraftwerk;9;10707;207;10500;28;31
GRGRAZ12;0600;Jakomini;BBB;Betty Baloo Bande;10;10707;207;10500;20;31
GRGRAZ12;0600;Jakomini;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;10707;207;10500;20;31
GRGRAZ12;0700;Liebenau;SPÖ;Sozialdemokratische Partei Österreichs;1;5376;109;5267;1072;14
GRGRAZ12;0700;Liebenau;ÖVP;Österreichische Volkspartei;2;5376;109;5267;1845;14
GRGRAZ12;0700;Liebenau;FPÖ;Freiheitliche Partei Österreichs;3;5376;109;5267;928;14
GRGRAZ12;0700;Liebenau;GRÜNE;Die Grünen - Die Grüne Alternative;4;5376;109;5267;324;14
GRGRAZ12;0700;Liebenau;KPÖ;Kommunistische Partei Österreichs;5;5376;109;5267;887;14
GRGRAZ12;0700;Liebenau;BZÖ;BZÖ Wir säubern Graz;6;5376;109;5267;73;14
GRGRAZ12;0700;Liebenau;CP-G;Christliche Partei-Grössler;7;5376;109;5267;17;14
GRGRAZ12;0700;Liebenau;PIRAT;Piratenpartei Graz;8;5376;109;5267;91;14
GRGRAZ12;0700;Liebenau;;Einsparkraftwerk;9;5376;109;5267;8;14
GRGRAZ12;0700;Liebenau;BBB;Betty Baloo Bande;10;5376;109;5267;9;14
GRGRAZ12;0700;Liebenau;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;5376;109;5267;13;14
GRGRAZ12;0800;St.Peter;SPÖ;Sozialdemokratische Partei Österreichs;1;15528;199;15329;1938;16
GRGRAZ12;0800;St.Peter;ÖVP;Österreichische Volkspartei;2;15528;199;15329;5758;16
GRGRAZ12;0800;St.Peter;FPÖ;Freiheitliche Partei Österreichs;3;15528;199;15329;1866;16
GRGRAZ12;0800;St.Peter;GRÜNE;Die Grünen - Die Grüne Alternative;4;15528;199;15329;2274;16
GRGRAZ12;0800;St.Peter;KPÖ;Kommunistische Partei Österreichs;5;15528;199;15329;2733;16
GRGRAZ12;0800;St.Peter;BZÖ;BZÖ Wir säubern Graz;6;15528;199;15329;215;16
GRGRAZ12;0800;St.Peter;CP-G;Christliche Partei-Grössler;7;15528;199;15329;67;16
GRGRAZ12;0800;St.Peter;PIRAT;Piratenpartei Graz;8;15528;199;15329;375;16
GRGRAZ12;0800;St.Peter;;Einsparkraftwerk;9;15528;199;15329;36;16
GRGRAZ12;0800;St.Peter;BBB;Betty Baloo Bande;10;15528;199;15329;25;16
