wkurz;sprengel;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;anzspr;aenderung_am;aenderung_durch
GRGRAZ12;0101;SPÖ;Sozialdemokratische Partei Österreichs;1;340;3;337;43;1;25.11.2012 05:35:10;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:35:16
GRGRAZ12;0101;ÖVP;Österreichische Volkspartei;2;340;3;337;104;1;25.11.2012 05:35:10;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:35:16
GRGRAZ12;0101;FPÖ;Freiheitliche Partei Österreichs;3;340;3;337;32;1;25.11.2012 05:35:10;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:35:16
GRGRAZ12;0101;GRÜNE;Die Grünen - Die Grüne Alternative;4;340;3;337;45;1;25.11.2012 05:35:10;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:35:16
GRGRAZ12;0101;KPÖ;Kommunistische Partei Österreichs;5;340;3;337;85;1;25.11.2012 05:35:10;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:35:16
GRGRAZ12;0101;BZÖ;BZÖ Wir säubern Graz;6;340;3;337;8;1;25.11.2012 05:35:10;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:35:16
GRGRAZ12;0101;CP-G;Christliche Partei-Grössler;7;340;3;337;1;1;25.11.2012 05:35:10;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:35:16
GRGRAZ12;0101;PIRAT;Piratenpartei Graz;8;340;3;337;18;1;25.11.2012 05:35:10;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:35:16
GRGRAZ12;0101;;Einsparkraftwerk;9;340;3;337;1;1;25.11.2012 05:35:10;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:35:16
GRGRAZ12;0101;BBB;Betty Baloo Bande;10;340;3;337;0;1;25.11.2012 05:35:10;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:35:16
