Stichtag,Bezirkszahl,Bezirksname,Geschlecht,Anzahl
2006-01-01 00:00:00.000,1,Innere Stadt,M,2162
2006-01-01 00:00:00.000,1,Innere Stadt,W,2083
2006-01-01 00:00:00.000,2,St.Leonhard,M,8053
2006-01-01 00:00:00.000,2,St.Leonhard,W,8963
2006-01-01 00:00:00.000,3,Geidorf,M,12759
2006-01-01 00:00:00.000,3,Geidorf,W,14820
2006-01-01 00:00:00.000,4,Lend,M,14237
2006-01-01 00:00:00.000,4,Lend,W,14993
2006-01-01 00:00:00.000,5,Gries,M,14876
2006-01-01 00:00:00.000,5,Gries,W,14105
2006-01-01 00:00:00.000,6,Jakomini,M,17413
2006-01-01 00:00:00.000,6,Jakomini,W,17139
2006-01-01 00:00:00.000,7,Liebenau,M,6513
2006-01-01 00:00:00.000,7,Liebenau,W,6766
2006-01-01 00:00:00.000,8,St.Peter,M,7360
2006-01-01 00:00:00.000,8,St.Peter,W,7934
2006-01-01 00:00:00.000,9,Waltendorf,M,6311
2006-01-01 00:00:00.000,9,Waltendorf,W,6624
2006-01-01 00:00:00.000,10,Ries,M,2939
2006-01-01 00:00:00.000,10,Ries,W,3631
2006-01-01 00:00:00.000,11,Mariatrost,M,4615
2006-01-01 00:00:00.000,11,Mariatrost,W,5072
2006-01-01 00:00:00.000,12,Andritz,M,9120
2006-01-01 00:00:00.000,12,Andritz,W,9854
2006-01-01 00:00:00.000,13,Gösting,M,5240
2006-01-01 00:00:00.000,13,Gösting,W,5632
2006-01-01 00:00:00.000,14,Eggenberg,M,9412
2006-01-01 00:00:00.000,14,Eggenberg,W,10410
2006-01-01 00:00:00.000,15,Wetzelsdorf,M,6870
2006-01-01 00:00:00.000,15,Wetzelsdorf,W,7826
2006-01-01 00:00:00.000,16,Straßgang,M,6836
2006-01-01 00:00:00.000,16,Straßgang,W,7194
2006-01-01 00:00:00.000,17,Puntigam,M,4034
2006-01-01 00:00:00.000,17,Puntigam,W,3592
2006-02-01 00:00:00.000,1,Innere Stadt,M,2172
2006-02-01 00:00:00.000,1,Innere Stadt,W,2077
2006-02-01 00:00:00.000,2,St.Leonhard,M,8054
2006-02-01 00:00:00.000,2,St.Leonhard,W,8941
2006-02-01 00:00:00.000,3,Geidorf,M,12764
2006-02-01 00:00:00.000,3,Geidorf,W,14776
2006-02-01 00:00:00.000,4,Lend,M,14230
2006-02-01 00:00:00.000,4,Lend,W,14993
2006-02-01 00:00:00.000,5,Gries,M,14862
2006-02-01 00:00:00.000,5,Gries,W,14068
2006-02-01 00:00:00.000,6,Jakomini,M,17411
2006-02-01 00:00:00.000,6,Jakomini,W,17141
2006-02-01 00:00:00.000,7,Liebenau,M,6536
2006-02-01 00:00:00.000,7,Liebenau,W,6789
2006-02-01 00:00:00.000,8,St.Peter,M,7363
2006-02-01 00:00:00.000,8,St.Peter,W,7940
2006-02-01 00:00:00.000,9,Waltendorf,M,6311
