wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
GRGRAZ03;0100;Innere Stadt;ÖVP;Österreichische Volkspartei;1;1700;10;1690;629;7
GRGRAZ03;0100;Innere Stadt;SPÖ;Sozialdemokratische Partei Österreichs;2;1700;10;1690;264;7
GRGRAZ03;0100;Innere Stadt;FPÖ;Freiheitliche Partei Österreichs;3;1700;10;1690;154;7
GRGRAZ03;0100;Innere Stadt;GRÜNE;Die Grünen - Die Grüne Alternative;4;1700;10;1690;172;7
GRGRAZ03;0100;Innere Stadt;KPÖ;Kommunistische Partei Österreichs;5;1700;10;1690;448;7
GRGRAZ03;0100;Innere Stadt;GVP;Grazer Verkehrspartei;6;1700;10;1690;7;7
GRGRAZ03;0100;Innere Stadt;RWA;Reif für die Wirtschaft und Arbeit;7;1700;10;1690;6;7
GRGRAZ03;0100;Innere Stadt;LIF;Liberales Forum;8;1700;10;1690;10;7
GRGRAZ03;0200;St Leonhard;ÖVP;Österreichische Volkspartei;1;6508;79;6429;2562;25
GRGRAZ03;0200;St Leonhard;SPÖ;Sozialdemokratische Partei Österreichs;2;6508;79;6429;1045;25
GRGRAZ03;0200;St Leonhard;FPÖ;Freiheitliche Partei Österreichs;3;6508;79;6429;555;25
GRGRAZ03;0200;St Leonhard;GRÜNE;Die Grünen - Die Grüne Alternative;4;6508;79;6429;797;25
GRGRAZ03;0200;St Leonhard;KPÖ;Kommunistische Partei Österreichs;5;6508;79;6429;1407;25
GRGRAZ03;0200;St Leonhard;GVP;Grazer Verkehrspartei;6;6508;79;6429;26;25
GRGRAZ03;0200;St Leonhard;RWA;Reif für die Wirtschaft und Arbeit;7;6508;79;6429;9;25
GRGRAZ03;0200;St Leonhard;LIF;Liberales Forum;8;6508;79;6429;28;25
GRGRAZ03;0300;Geidorf;ÖVP;Österreichische Volkspartei;1;9850;103;9747;4140;41
GRGRAZ03;0300;Geidorf;SPÖ;Sozialdemokratische Partei Österreichs;2;9850;103;9747;1644;41
GRGRAZ03;0300;Geidorf;FPÖ;Freiheitliche Partei Österreichs;3;9850;103;9747;844;41
GRGRAZ03;0300;Geidorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;9850;103;9747;1142;41
GRGRAZ03;0300;Geidorf;KPÖ;Kommunistische Partei Österreichs;5;9850;103;9747;1872;41
GRGRAZ03;0300;Geidorf;GVP;Grazer Verkehrspartei;6;9850;103;9747;46;41
GRGRAZ03;0300;Geidorf;RWA;Reif für die Wirtschaft und Arbeit;7;9850;103;9747;19;41
GRGRAZ03;0300;Geidorf;LIF;Liberales Forum;8;9850;103;9747;40;41
GRGRAZ03;0400;Lend;ÖVP;Österreichische Volkspartei;1;9426;150;9276;2458;42
GRGRAZ03;0400;Lend;SPÖ;Sozialdemokratische Partei Österreichs;2;9426;150;9276;3196;42
GRGRAZ03;0400;Lend;FPÖ;Freiheitliche Partei Österreichs;3;9426;150;9276;740;42
