wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
LT2005;0100;Innere Stadt;ÖVP;Österreichische Volkspartei;1;1567;17;1550;564;4
LT2005;0100;Innere Stadt;SPÖ;Sozialdemokratische Partei Österreichs;2;1567;17;1550;328;4
LT2005;0100;Innere Stadt;FPÖ;Freiheitliche Partei Österreichs;3;1567;17;1550;84;4
LT2005;0100;Innere Stadt;GRÜNE;Die Grünen - Die Grüne Alternative;4;1567;17;1550;208;4
LT2005;0100;Innere Stadt;KPÖ;Kommunistische Partei Österreichs;5;1567;17;1550;278;4
LT2005;0100;Innere Stadt;LH;Liste Hirschmann;6;1567;17;1550;57;4
LT2005;0100;Innere Stadt;BZÖ;Bündnis Zukunft Österreich;7;1567;17;1550;22;4
LT2005;0100;Innere Stadt;;Parteifrei;8;1567;17;1550;9;4
LT2005;0200;St Leonhard;ÖVP;Österreichische Volkspartei;1;6720;79;6641;2291;15
LT2005;0200;St Leonhard;SPÖ;Sozialdemokratische Partei Österreichs;2;6720;79;6641;1571;15
LT2005;0200;St Leonhard;FPÖ;Freiheitliche Partei Österreichs;3;6720;79;6641;348;15
LT2005;0200;St Leonhard;GRÜNE;Die Grünen - Die Grüne Alternative;4;6720;79;6641;1056;15
LT2005;0200;St Leonhard;KPÖ;Kommunistische Partei Österreichs;5;6720;79;6641;974;15
LT2005;0200;St Leonhard;LH;Liste Hirschmann;6;6720;79;6641;186;15
LT2005;0200;St Leonhard;BZÖ;Bündnis Zukunft Österreich;7;6720;79;6641;122;15
LT2005;0200;St Leonhard;;Parteifrei;8;6720;79;6641;93;15
LT2005;0300;Geidorf;ÖVP;Österreichische Volkspartei;1;10105;145;9960;3752;24
LT2005;0300;Geidorf;SPÖ;Sozialdemokratische Partei Österreichs;2;10105;145;9960;2316;24
LT2005;0300;Geidorf;FPÖ;Freiheitliche Partei Österreichs;3;10105;145;9960;485;24
LT2005;0300;Geidorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;10105;145;9960;1544;24
LT2005;0300;Geidorf;KPÖ;Kommunistische Partei Österreichs;5;10105;145;9960;1232;24
LT2005;0300;Geidorf;LH;Liste Hirschmann;6;10105;145;9960;321;24
LT2005;0300;Geidorf;BZÖ;Bündnis Zukunft Österreich;7;10105;145;9960;201;24
LT2005;0300;Geidorf;;Parteifrei;8;10105;145;9960;109;24
LT2005;0400;Lend;ÖVP;Österreichische Volkspartei;1;9786;83;9703;2193;26
LT2005;0400;Lend;SPÖ;Sozialdemokratische Partei Österreichs;2;9786;83;9703;4193;26
LT2005;0400;Lend;FPÖ;Freiheitliche Partei Österreichs;3;9786;83;9703;552;26
LT2005;0400;Lend;GRÜNE;Die Grünen - Die Grüne Alternative;4;9786;83;9703;794;26
LT2005;0400;Lend;KPÖ;Kommunistische Partei Österreichs;5;9786;83;9703;1512;26
LT2005;0400;Lend;LH;Liste Hirschmann;6;9786;83;9703;194;26
LT2005;0400;Lend;BZÖ;Bündnis Zukunft Österreich;7;9786;83;9703;184;26
LT2005;0400;Lend;;Parteifrei;8;9786;83;9703;81;26
LT2005;0500;Gries;ÖVP;Österreichische Volkspartei;1;8405;78;8327;1993;24
LT2005;0500;Gries;SPÖ;Sozialdemokratische Partei Österreichs;2;8405;78;8327;3210;24
