wkurz;sprengel;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;;
LT2005;101;ÖVP;Österreichische Volkspartei;1;369;3;366;126;;
LT2005;101;SPÖ;Sozialdemokratische Partei Österreichs;2;369;3;366;88;;
LT2005;101;FPÖ;Freiheitliche Partei Österreichs;3;369;3;366;12;;
LT2005;101;GRÜNE;Die Grünen - Die Grüne Alternative;4;369;3;366;54;;
LT2005;101;KPÖ;Kommunistische Partei Österreichs;5;369;3;366;72;;
LT2005;101;LH;Liste Hirschmann;6;369;3;366;6;;
LT2005;101;BZÖ;Bündnis Zukunft Österreich;7;369;3;366;6;;
LT2005;101;;Parteifrei;8;369;3;366;2;;
LT2005;102;ÖVP;Österreichische Volkspartei;1;403;5;398;153;;
LT2005;102;SPÖ;Sozialdemokratische Partei Österreichs;2;403;5;398;80;;
LT2005;102;FPÖ;Freiheitliche Partei Österreichs;3;403;5;398;24;;
LT2005;102;GRÜNE;Die Grünen - Die Grüne Alternative;4;403;5;398;45;;
LT2005;102;KPÖ;Kommunistische Partei Österreichs;5;403;5;398;73;;
LT2005;102;LH;Liste Hirschmann;6;403;5;398;14;;
LT2005;102;BZÖ;Bündnis Zukunft Österreich;7;403;5;398;5;;
LT2005;102;;Parteifrei;8;403;5;398;4;;
LT2005;103;ÖVP;Österreichische Volkspartei;1;431;5;426;169;;
LT2005;103;SPÖ;Sozialdemokratische Partei Österreichs;2;431;5;426;81;;
LT2005;103;FPÖ;Freiheitliche Partei Österreichs;3;431;5;426;22;;
LT2005;103;GRÜNE;Die Grünen - Die Grüne Alternative;4;431;5;426;55;;
LT2005;103;KPÖ;Kommunistische Partei Österreichs;5;431;5;426;74;;
LT2005;103;LH;Liste Hirschmann;6;431;5;426;18;;
LT2005;103;BZÖ;Bündnis Zukunft Österreich;7;431;5;426;6;;
LT2005;103;;Parteifrei;8;431;5;426;1;;
LT2005;104;ÖVP;Österreichische Volkspartei;1;364;4;360;116;;
LT2005;104;SPÖ;Sozialdemokratische Partei Österreichs;2;364;4;360;79;;
LT2005;104;FPÖ;Freiheitliche Partei Österreichs;3;364;4;360;26;;
LT2005;104;GRÜNE;Die Grünen - Die Grüne Alternative;4;364;4;360;54;;
LT2005;104;KPÖ;Kommunistische Partei Österreichs;5;364;4;360;59;;
LT2005;104;LH;Liste Hirschmann;6;364;4;360;19;;
LT2005;104;BZÖ;Bündnis Zukunft Österreich;7;364;4;360;5;;
LT2005;104;;Parteifrei;8;364;4;360;2;;
LT2005;201;ÖVP;Österreichische Volkspartei;1;459;10;449;163;;
LT2005;201;SPÖ;Sozialdemokratische Partei Österreichs;2;459;10;449;116;;
LT2005;201;FPÖ;Freiheitliche Partei Österreichs;3;459;10;449;27;;
LT2005;201;GRÜNE;Die Grünen - Die Grüne Alternative;4;459;10;449;55;;
LT2005;201;KPÖ;Kommunistische Partei Österreichs;5;459;10;449;60;;
LT2005;201;LH;Liste Hirschmann;6;459;10;449;8;;
LT2005;201;BZÖ;Bündnis Zukunft Österreich;7;459;10;449;14;;
LT2005;201;;Parteifrei;8;459;10;449;6;;
LT2005;202;ÖVP;Österreichische Volkspartei;1;467;7;460;179;;
LT2005;202;SPÖ;Sozialdemokratische Partei Österreichs;2;467;7;460;125;;
LT2005;202;FPÖ;Freiheitliche Partei Österreichs;3;467;7;460;24;;
LT2005;202;GRÜNE;Die Grünen - Die Grüne Alternative;4;467;7;460;54;;
LT2005;202;KPÖ;Kommunistische Partei Österreichs;5;467;7;460;50;;
LT2005;202;LH;Liste Hirschmann;6;467;7;460;11;;
LT2005;202;BZÖ;Bündnis Zukunft Österreich;7;467;7;460;9;;
LT2005;202;;Parteifrei;8;467;7;460;8;;
LT2005;203;ÖVP;Österreichische Volkspartei;1;425;2;423;126;;
LT2005;203;SPÖ;Sozialdemokratische Partei Österreichs;2;425;2;423;130;;
LT2005;203;FPÖ;Freiheitliche Partei Österreichs;3;425;2;423;24;;
LT2005;203;GRÜNE;Die Grünen - Die Grüne Alternative;4;425;2;423;55;;
LT2005;203;KPÖ;Kommunistische Partei Österreichs;5;425;2;423;66;;
LT2005;203;LH;Liste Hirschmann;6;425;2;423;14;;
LT2005;203;BZÖ;Bündnis Zukunft Österreich;7;425;2;423;5;;
