wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
NR2006;0100;Innere Stadt;ÖVP;Österreichische Volkspartei;1;1709;24;1685;628;4
NR2006;0100;Innere Stadt;SPÖ;Sozialdemokratische Partei Österreichs;2;1709;24;1685;337;4
NR2006;0100;Innere Stadt;FPÖ;Freiheitliche Partei Österreichs;3;1709;24;1685;169;4
NR2006;0100;Innere Stadt;GRÜNE;Die Grünen - Die Grüne Alternative;4;1709;24;1685;427;4
NR2006;0100;Innere Stadt;BZÖ;BZÖ-Mag. Ewald Stadler;5;1709;24;1685;48;4
NR2006;0100;Innere Stadt;KPÖ;Kommunistische Partei Österreichs;6;1709;24;1685;55;4
NR2006;0100;Innere Stadt;MATIN;Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit;7;1709;24;1685;21;4
NR2006;0200;St Leonhard;ÖVP;Österreichische Volkspartei;1;7096;78;7018;2547;15
NR2006;0200;St Leonhard;SPÖ;Sozialdemokratische Partei Österreichs;2;7096;78;7018;1494;15
NR2006;0200;St Leonhard;FPÖ;Freiheitliche Partei Österreichs;3;7096;78;7018;569;15
NR2006;0200;St Leonhard;GRÜNE;Die Grünen - Die Grüne Alternative;4;7096;78;7018;1907;15
NR2006;0200;St Leonhard;BZÖ;BZÖ-Mag. Ewald Stadler;5;7096;78;7018;179;15
NR2006;0200;St Leonhard;KPÖ;Kommunistische Partei Österreichs;6;7096;78;7018;223;15
NR2006;0200;St Leonhard;MATIN;Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit;7;7096;78;7018;99;15
NR2006;0300;Geidorf;ÖVP;Österreichische Volkspartei;1;10834;111;10723;4103;24
NR2006;0300;Geidorf;SPÖ;Sozialdemokratische Partei Österreichs;2;10834;111;10723;2275;24
NR2006;0300;Geidorf;FPÖ;Freiheitliche Partei Österreichs;3;10834;111;10723;969;24
NR2006;0300;Geidorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;10834;111;10723;2621;24
NR2006;0300;Geidorf;BZÖ;BZÖ-Mag. Ewald Stadler;5;10834;111;10723;319;24
NR2006;0300;Geidorf;KPÖ;Kommunistische Partei Österreichs;6;10834;111;10723;290;24
NR2006;0300;Geidorf;MATIN;Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit;7;10834;111;10723;146;24
NR2006;0400;Lend;ÖVP;Österreichische Volkspartei;1;10330;99;10231;2265;26
NR2006;0400;Lend;SPÖ;Sozialdemokratische Partei Österreichs;2;10330;99;10231;4008;26
NR2006;0400;Lend;FPÖ;Freiheitliche Partei Österreichs;3;10330;99;10231;1450;26
NR2006;0400;Lend;GRÜNE;Die Grünen - Die Grüne Alternative;4;10330;99;10231;1544;26
NR2006;0400;Lend;BZÖ;BZÖ-Mag. Ewald Stadler;5;10330;99;10231;419;26
NR2006;0400;Lend;KPÖ;Kommunistische Partei Österreichs;6;10330;99;10231;394;26
NR2006;0400;Lend;MATIN;Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit;7;10330;99;10231;151;26
NR2006;0500;Gries;ÖVP;Österreichische Volkspartei;1;8929;101;8828;1971;24
NR2006;0500;Gries;SPÖ;Sozialdemokratische Partei Österreichs;2;8929;101;8828;3377;24
NR2006;0500;Gries;FPÖ;Freiheitliche Partei Österreichs;3;8929;101;8828;1258;24
NR2006;0500;Gries;GRÜNE;Die Grünen - Die Grüne Alternative;4;8929;101;8828;1286;24
NR2006;0500;Gries;BZÖ;BZÖ-Mag. Ewald Stadler;5;8929;101;8828;345;24
NR2006;0500;Gries;KPÖ;Kommunistische Partei Österreichs;6;8929;101;8828;439;24
NR2006;0500;Gries;MATIN;Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit;7;8929;101;8828;152;24
NR2006;0600;Jakomini;ÖVP;Österreichische Volkspartei;1;12778;129;12649;3250;31
NR2006;0600;Jakomini;SPÖ;Sozialdemokratische Partei Österreichs;2;12778;129;12649;4247;31
NR2006;0600;Jakomini;FPÖ;Freiheitliche Partei Österreichs;3;12778;129;12649;1518;31
NR2006;0600;Jakomini;GRÜNE;Die Grünen - Die Grüne Alternative;4;12778;129;12649;2462;31
