wkurz;sprengel;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;;
NR2006;101;ÖVP;Österreichische Volkspartei;1;411;7;404;142;;
NR2006;101;SPÖ;Sozialdemokratische Partei Österreichs;2;411;7;404;86;;
NR2006;101;FPÖ;Freiheitliche Partei Österreichs;3;411;7;404;27;;
NR2006;101;GRÜNE;Die Grünen - Die Grüne Alternative;4;411;7;404;116;;
NR2006;101;BZÖ;BZÖ-Mag. Ewald Stadler;5;411;7;404;13;;
NR2006;101;KPÖ;Kommunistische Partei Österreichs;6;411;7;404;16;;
NR2006;101;MATIN;Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit;7;411;7;404;4;;
NR2006;102;ÖVP;Österreichische Volkspartei;1;439;7;432;156;;
NR2006;102;SPÖ;Sozialdemokratische Partei Österreichs;2;439;7;432;90;;
NR2006;102;FPÖ;Freiheitliche Partei Österreichs;3;439;7;432;59;;
NR2006;102;GRÜNE;Die Grünen - Die Grüne Alternative;4;439;7;432;87;;
NR2006;102;BZÖ;BZÖ-Mag. Ewald Stadler;5;439;7;432;12;;
NR2006;102;KPÖ;Kommunistische Partei Österreichs;6;439;7;432;24;;
NR2006;102;MATIN;Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit;7;439;7;432;4;;
NR2006;103;ÖVP;Österreichische Volkspartei;1;466;3;463;192;;
NR2006;103;SPÖ;Sozialdemokratische Partei Österreichs;2;466;3;463;81;;
NR2006;103;FPÖ;Freiheitliche Partei Österreichs;3;466;3;463;36;;
NR2006;103;GRÜNE;Die Grünen - Die Grüne Alternative;4;466;3;463;126;;
NR2006;103;BZÖ;BZÖ-Mag. Ewald Stadler;5;466;3;463;10;;
NR2006;103;KPÖ;Kommunistische Partei Österreichs;6;466;3;463;8;;
NR2006;103;MATIN;Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit;7;466;3;463;10;;
NR2006;104;ÖVP;Österreichische Volkspartei;1;393;7;386;138;;
NR2006;104;SPÖ;Sozialdemokratische Partei Österreichs;2;393;7;386;80;;
NR2006;104;FPÖ;Freiheitliche Partei Österreichs;3;393;7;386;47;;
NR2006;104;GRÜNE;Die Grünen - Die Grüne Alternative;4;393;7;386;98;;
NR2006;104;BZÖ;BZÖ-Mag. Ewald Stadler;5;393;7;386;13;;
NR2006;104;KPÖ;Kommunistische Partei Österreichs;6;393;7;386;7;;
NR2006;104;MATIN;Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit;7;393;7;386;3;;
NR2006;201;ÖVP;Österreichische Volkspartei;1;475;4;471;150;;
NR2006;201;SPÖ;Sozialdemokratische Partei Österreichs;2;475;4;471;133;;
NR2006;201;FPÖ;Freiheitliche Partei Österreichs;3;475;4;471;52;;
NR2006;201;GRÜNE;Die Grünen - Die Grüne Alternative;4;475;4;471;94;;
NR2006;201;BZÖ;BZÖ-Mag. Ewald Stadler;5;475;4;471;14;;
NR2006;201;KPÖ;Kommunistische Partei Österreichs;6;475;4;471;18;;
NR2006;201;MATIN;Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit;7;475;4;471;10;;
NR2006;202;ÖVP;Österreichische Volkspartei;1;487;10;477;188;;
NR2006;202;SPÖ;Sozialdemokratische Partei Österreichs;2;487;10;477;101;;
NR2006;202;FPÖ;Freiheitliche Partei Österreichs;3;487;10;477;42;;
NR2006;202;GRÜNE;Die Grünen - Die Grüne Alternative;4;487;10;477;112;;
NR2006;202;BZÖ;BZÖ-Mag. Ewald Stadler;5;487;10;477;14;;
NR2006;202;KPÖ;Kommunistische Partei Österreichs;6;487;10;477;9;;
NR2006;202;MATIN;Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit;7;487;10;477;11;;
NR2006;203;ÖVP;Österreichische Volkspartei;1;455;5;450;152;;
NR2006;203;SPÖ;Sozialdemokratische Partei Österreichs;2;455;5;450;135;;
NR2006;203;FPÖ;Freiheitliche Partei Österreichs;3;455;5;450;42;;
NR2006;203;GRÜNE;Die Grünen - Die Grüne Alternative;4;455;5;450;97;;
NR2006;203;BZÖ;BZÖ-Mag. Ewald Stadler;5;455;5;450;9;;
NR2006;203;KPÖ;Kommunistische Partei Österreichs;6;455;5;450;13;;
NR2006;203;MATIN;Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit;7;455;5;450;2;;
NR2006;204;ÖVP;Österreichische Volkspartei;1;462;6;456;137;;
NR2006;204;SPÖ;Sozialdemokratische Partei Österreichs;2;462;6;456;124;;
NR2006;204;FPÖ;Freiheitliche Partei Österreichs;3;462;6;456;38;;
NR2006;204;GRÜNE;Die Grünen - Die Grüne Alternative;4;462;6;456;135;;
NR2006;204;BZÖ;BZÖ-Mag. Ewald Stadler;5;462;6;456;7;;
NR2006;204;KPÖ;Kommunistische Partei Österreichs;6;462;6;456;11;;
NR2006;204;MATIN;Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit;7;462;6;456;4;;
NR2006;205;ÖVP;Österreichische Volkspartei;1;473;2;471;175;;
NR2006;205;SPÖ;Sozialdemokratische Partei Österreichs;2;473;2;471;87;;
NR2006;205;FPÖ;Freiheitliche Partei Österreichs;3;473;2;471;38;;
NR2006;205;GRÜNE;Die Grünen - Die Grüne Alternative;4;473;2;471;127;;
NR2006;205;BZÖ;BZÖ-Mag. Ewald Stadler;5;473;2;471;17;;
NR2006;205;KPÖ;Kommunistische Partei Österreichs;6;473;2;471;25;;
NR2006;205;MATIN;Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit;7;473;2;471;2;;
