wkurz;sprengel;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;;
GRGRAZ08;101;SPÖ;Sozialdemokratische Partei Österreichs;1;359;8;351;38;;
GRGRAZ08;101;ÖVP;Österreichische Volkspartei;2;359;8;351;134;;
GRGRAZ08;101;KPÖ;Kommunistische Partei Österreichs;3;359;8;351;58;;
GRGRAZ08;101;GRÜNE;Die Grünen - Die Grüne Alternative;4;359;8;351;87;;
GRGRAZ08;101;FPÖ;Freiheitliche Partei Österreichs;5;359;8;351;23;;
GRGRAZ08;101;BZÖ;BZÖ Wir säubern Graz;6;359;8;351;9;;
GRGRAZ08;101;;Wegscheidler;7;359;8;351;0;;
GRGRAZ08;101;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;359;8;351;1;;
GRGRAZ08;101;SALZ;Namensliste Peter PAILER;9;359;8;351;0;;
GRGRAZ08;101;ZPA;Zentrumpartei Austria;10;359;8;351;1;;
GRGRAZ08;102;SPÖ;Sozialdemokratische Partei Österreichs;1;381;4;377;50;;
GRGRAZ08;102;ÖVP;Österreichische Volkspartei;2;381;4;377;136;;
GRGRAZ08;102;KPÖ;Kommunistische Partei Österreichs;3;381;4;377;55;;
GRGRAZ08;102;GRÜNE;Die Grünen - Die Grüne Alternative;4;381;4;377;69;;
GRGRAZ08;102;FPÖ;Freiheitliche Partei Österreichs;5;381;4;377;44;;
GRGRAZ08;102;BZÖ;BZÖ Wir säubern Graz;6;381;4;377;19;;
GRGRAZ08;102;;Wegscheidler;7;381;4;377;0;;
GRGRAZ08;102;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;381;4;377;0;;
GRGRAZ08;102;SALZ;Namensliste Peter PAILER;9;381;4;377;3;;
GRGRAZ08;102;ZPA;Zentrumpartei Austria;10;381;4;377;1;;
GRGRAZ08;103;SPÖ;Sozialdemokratische Partei Österreichs;1;424;3;421;47;;
GRGRAZ08;103;ÖVP;Österreichische Volkspartei;2;424;3;421;204;;
GRGRAZ08;103;KPÖ;Kommunistische Partei Österreichs;3;424;3;421;54;;
GRGRAZ08;103;GRÜNE;Die Grünen - Die Grüne Alternative;4;424;3;421;70;;
GRGRAZ08;103;FPÖ;Freiheitliche Partei Österreichs;5;424;3;421;33;;
GRGRAZ08;103;BZÖ;BZÖ Wir säubern Graz;6;424;3;421;12;;
GRGRAZ08;103;;Wegscheidler;7;424;3;421;0;;
GRGRAZ08;103;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;424;3;421;1;;
GRGRAZ08;103;SALZ;Namensliste Peter PAILER;9;424;3;421;0;;
GRGRAZ08;103;ZPA;Zentrumpartei Austria;10;424;3;421;0;;
GRGRAZ08;104;SPÖ;Sozialdemokratische Partei Österreichs;1;365;1;364;41;;
GRGRAZ08;104;ÖVP;Österreichische Volkspartei;2;365;1;364;143;;
GRGRAZ08;104;KPÖ;Kommunistische Partei Österreichs;3;365;1;364;48;;
GRGRAZ08;104;GRÜNE;Die Grünen - Die Grüne Alternative;4;365;1;364;73;;
GRGRAZ08;104;FPÖ;Freiheitliche Partei Österreichs;5;365;1;364;33;;
GRGRAZ08;104;BZÖ;BZÖ Wir säubern Graz;6;365;1;364;21;;
GRGRAZ08;104;;Wegscheidler;7;365;1;364;1;;
GRGRAZ08;104;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;365;1;364;1;;
GRGRAZ08;104;SALZ;Namensliste Peter PAILER;9;365;1;364;3;;
GRGRAZ08;104;ZPA;Zentrumpartei Austria;10;365;1;364;0;;
GRGRAZ08;201;SPÖ;Sozialdemokratische Partei Österreichs;1;386;9;377;54;;
GRGRAZ08;201;ÖVP;Österreichische Volkspartei;2;386;9;377;148;;
GRGRAZ08;201;KPÖ;Kommunistische Partei Österreichs;3;386;9;377;51;;
GRGRAZ08;201;GRÜNE;Die Grünen - Die Grüne Alternative;4;386;9;377;72;;
GRGRAZ08;201;FPÖ;Freiheitliche Partei Österreichs;5;386;9;377;35;;
GRGRAZ08;201;BZÖ;BZÖ Wir säubern Graz;6;386;9;377;17;;
GRGRAZ08;201;;Wegscheidler;7;386;9;377;0;;
GRGRAZ08;201;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;386;9;377;0;;
GRGRAZ08;201;SALZ;Namensliste Peter PAILER;9;386;9;377;0;;
GRGRAZ08;201;ZPA;Zentrumpartei Austria;10;386;9;377;0;;
GRGRAZ08;202;SPÖ;Sozialdemokratische Partei Österreichs;1;489;9;480;71;;
GRGRAZ08;202;ÖVP;Österreichische Volkspartei;2;489;9;480;197;;
GRGRAZ08;202;KPÖ;Kommunistische Partei Österreichs;3;489;9;480;52;;
GRGRAZ08;202;GRÜNE;Die Grünen - Die Grüne Alternative;4;489;9;480;100;;
GRGRAZ08;202;FPÖ;Freiheitliche Partei Österreichs;5;489;9;480;34;;
GRGRAZ08;202;BZÖ;BZÖ Wir säubern Graz;6;489;9;480;18;;
GRGRAZ08;202;;Wegscheidler;7;489;9;480;1;;
GRGRAZ08;202;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;489;9;480;4;;
GRGRAZ08;202;SALZ;Namensliste Peter PAILER;9;489;9;480;2;;
GRGRAZ08;202;ZPA;Zentrumpartei Austria;10;489;9;480;1;;
GRGRAZ08;203;SPÖ;Sozialdemokratische Partei Österreichs;1;413;9;404;91;;
GRGRAZ08;203;ÖVP;Österreichische Volkspartei;2;413;9;404;147;;
