wkurz;sprengel;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen
NR2008;101;SPÖ;Sozialdemokratische Partei Österreichs;1;374;5;369;54
NR2008;101;ÖVP;Österreichische Volkspartei;2;374;5;369;111
NR2008;101;GRÜNE;Die Grünen - Die Grüne Alternative;3;374;5;369;102
NR2008;101;FPÖ;Freiheitliche Partei Österreichs;4;374;5;369;32
NR2008;101;BZÖ;BZÖ-Mag. Ewald Stadler;5;374;5;369;32
NR2008;101;KPÖ;Kommunistische Partei Österreichs;6;374;5;369;17
NR2008;101;RETTÖ;Unabhängige Bürgerinitiative Rettet Österreich;7;374;5;369;1
NR2008;101;LIF;Liberales Forum;8;374;5;369;12
NR2008;101;DC;Die Christen;9;374;5;369;2
NR2008;101;FRITZ;Bürgerforum Österreich Liste Fritz Dinkhauser;10;374;5;369;6
NR2008;102;SPÖ;Sozialdemokratische Partei Österreichs;1;439;6;433;69
NR2008;102;ÖVP;Österreichische Volkspartei;2;439;6;433;110
NR2008;102;GRÜNE;Die Grünen - Die Grüne Alternative;3;439;6;433;97
NR2008;102;FPÖ;Freiheitliche Partei Österreichs;4;439;6;433;64
NR2008;102;BZÖ;BZÖ-Mag. Ewald Stadler;5;439;6;433;45
NR2008;102;KPÖ;Kommunistische Partei Österreichs;6;439;6;433;22
NR2008;102;RETTÖ;Unabhängige Bürgerinitiative Rettet Österreich;7;439;6;433;2
NR2008;102;LIF;Liberales Forum;8;439;6;433;10
NR2008;102;DC;Die Christen;9;439;6;433;1
NR2008;102;FRITZ;Bürgerforum Österreich Liste Fritz Dinkhauser;10;439;6;433;13
NR2008;103;SPÖ;Sozialdemokratische Partei Österreichs;1;431;2;429;61
NR2008;103;ÖVP;Österreichische Volkspartei;2;431;2;429;140
NR2008;103;GRÜNE;Die Grünen - Die Grüne Alternative;3;431;2;429;103
NR2008;103;FPÖ;Freiheitliche Partei Österreichs;4;431;2;429;40
NR2008;103;BZÖ;BZÖ-Mag. Ewald Stadler;5;431;2;429;43
NR2008;103;KPÖ;Kommunistische Partei Österreichs;6;431;2;429;13
NR2008;103;RETTÖ;Unabhängige Bürgerinitiative Rettet Österreich;7;431;2;429;1
NR2008;103;LIF;Liberales Forum;8;431;2;429;20
NR2008;103;DC;Die Christen;9;431;2;429;2
NR2008;103;FRITZ;Bürgerforum Österreich Liste Fritz Dinkhauser;10;431;2;429;6
NR2008;104;SPÖ;Sozialdemokratische Partei Österreichs;1;373;4;369;64
NR2008;104;ÖVP;Österreichische Volkspartei;2;373;4;369;86
NR2008;104;GRÜNE;Die Grünen - Die Grüne Alternative;3;373;4;369;93
NR2008;104;FPÖ;Freiheitliche Partei Österreichs;4;373;4;369;47
NR2008;104;BZÖ;BZÖ-Mag. Ewald Stadler;5;373;4;369;41
NR2008;104;KPÖ;Kommunistische Partei Österreichs;6;373;4;369;5
NR2008;104;RETTÖ;Unabhängige Bürgerinitiative Rettet Österreich;7;373;4;369;3
NR2008;104;LIF;Liberales Forum;8;373;4;369;21
NR2008;104;DC;Die Christen;9;373;4;369;6
NR2008;104;FRITZ;Bürgerforum Österreich Liste Fritz Dinkhauser;10;373;4;369;3
NR2008;201;SPÖ;Sozialdemokratische Partei Österreichs;1;445;5;440;77
NR2008;201;ÖVP;Österreichische Volkspartei;2;445;5;440;94
NR2008;201;GRÜNE;Die Grünen - Die Grüne Alternative;3;445;5;440;93
NR2008;201;FPÖ;Freiheitliche Partei Österreichs;4;445;5;440;64
NR2008;201;BZÖ;BZÖ-Mag. Ewald Stadler;5;445;5;440;55
