wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
BRGRAZ12;0100;Innere Stadt;SPÖ;Sozialdemokratische Partei Österreichs;1;1839;125;1714;172;6
BRGRAZ12;0100;Innere Stadt;ÖVP;Österreichische Volkspartei;2;1839;125;1714;579;6
BRGRAZ12;0100;Innere Stadt;FPÖ;Freiheitliche Partei Österreichs;3;1839;125;1714;186;6
BRGRAZ12;0100;Innere Stadt;GRÜNE;Die Grünen - Die Grüne Alternative;4;1839;125;1714;378;6
BRGRAZ12;0100;Innere Stadt;KPÖ;Kommunistische Partei Österreichs;5;1839;125;1714;399;6
BRGRAZ12;0200;St Leonhard;SPÖ;Sozialdemokratische Partei Österreichs;1;7776;534;7242;746;17
BRGRAZ12;0200;St Leonhard;ÖVP;Österreichische Volkspartei;2;7776;534;7242;2532;17
BRGRAZ12;0200;St Leonhard;FPÖ;Freiheitliche Partei Österreichs;3;7776;534;7242;901;17
BRGRAZ12;0200;St Leonhard;GRÜNE;Die Grünen - Die Grüne Alternative;4;7776;534;7242;1632;17
BRGRAZ12;0200;St Leonhard;KPÖ;Kommunistische Partei Österreichs;5;7776;534;7242;1431;17
BRGRAZ12;0300;Geidorf;SPÖ;Sozialdemokratische Partei Österreichs;1;11395;776;10619;1224;26
BRGRAZ12;0300;Geidorf;ÖVP;Österreichische Volkspartei;2;11395;776;10619;4030;26
BRGRAZ12;0300;Geidorf;FPÖ;Freiheitliche Partei Österreichs;3;11395;776;10619;1155;26
BRGRAZ12;0300;Geidorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;11395;776;10619;2299;26
BRGRAZ12;0300;Geidorf;KPÖ;Kommunistische Partei Österreichs;5;11395;776;10619;1911;26
BRGRAZ12;0400;Lend;SPÖ;Sozialdemokratische Partei Österreichs;1;10009;825;9184;1994;28
BRGRAZ12;0400;Lend;ÖVP;Österreichische Volkspartei;2;10009;825;9184;2341;28
BRGRAZ12;0400;Lend;FPÖ;Freiheitliche Partei Österreichs;3;10009;825;9184;1549;28
BRGRAZ12;0400;Lend;GRÜNE;Die Grünen - Die Grüne Alternative;4;10009;825;9184;1315;28
BRGRAZ12;0400;Lend;KPÖ;Kommunistische Partei Österreichs;5;10009;825;9184;1985;28
BRGRAZ12;0500;Gries;SPÖ;Sozialdemokratische Partei Österreichs;1;7754;561;7193;1352;26
BRGRAZ12;0500;Gries;ÖVP;Österreichische Volkspartei;2;7754;561;7193;1870;26
BRGRAZ12;0500;Gries;FPÖ;Freiheitliche Partei Österreichs;3;7754;561;7193;1166;26
BRGRAZ12;0500;Gries;GRÜNE;Die Grünen - Die Grüne Alternative;4;7754;561;7193;949;26
BRGRAZ12;0500;Gries;KPÖ;Kommunistische Partei Österreichs;5;7754;561;7193;1856;26
BRGRAZ12;0600;Jakomini;SPÖ;Sozialdemokratische Partei Österreichs;1;12426;976;11450;1892;33
BRGRAZ12;0600;Jakomini;ÖVP;Österreichische Volkspartei;2;12426;976;11450;3255;33
BRGRAZ12;0600;Jakomini;FPÖ;Freiheitliche Partei Österreichs;3;12426;976;11450;1477;33
BRGRAZ12;0600;Jakomini;GRÜNE;Die Grünen - Die Grüne Alternative;4;12426;976;11450;1978;33
BRGRAZ12;0600;Jakomini;KPÖ;Kommunistische Partei Österreichs;5;12426;976;11450;2848;33
BRGRAZ12;0700;Liebenau;SPÖ;Sozialdemokratische Partei Österreichs;1;5866;499;5367;1198;16
BRGRAZ12;0700;Liebenau;ÖVP;Österreichische Volkspartei;2;5866;499;5367;1987;16
BRGRAZ12;0700;Liebenau;FPÖ;Freiheitliche Partei Österreichs;3;5866;499;5367;948;16
BRGRAZ12;0700;Liebenau;GRÜNE;Die Grünen - Die Grüne Alternative;4;5866;499;5367;407;16
BRGRAZ12;0700;Liebenau;KPÖ;Kommunistische Partei Österreichs;5;5866;499;5367;827;16
BRGRAZ12;0800;St.Peter;SPÖ;Sozialdemokratische Partei Österreichs;1;7639;586;7053;859;17
BRGRAZ12;0800;St.Peter;ÖVP;Österreichische Volkspartei;2;7639;586;7053;2982;17
BRGRAZ12;0800;St.Peter;FPÖ;Freiheitliche Partei Österreichs;3;7639;586;7053;911;17
BRGRAZ12;0800;St.Peter;GRÜNE;Die Grünen - Die Grüne Alternative;4;7639;586;7053;1265;17
BRGRAZ12;0800;St.Peter;KPÖ;Kommunistische Partei Österreichs;5;7639;586;7053;1036;17
BRGRAZ12;0900;Waltendorf;SPÖ;Sozialdemokratische Partei Österreichs;1;6374;410;5964;662;15
BRGRAZ12;0900;Waltendorf;ÖVP;Österreichische Volkspartei;2;6374;410;5964;2735;15
BRGRAZ12;0900;Waltendorf;FPÖ;Freiheitliche Partei Österreichs;3;6374;410;5964;764;15
BRGRAZ12;0900;Waltendorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;6374;410;5964;930;15
BRGRAZ12;0900;Waltendorf;KPÖ;Kommunistische Partei Österreichs;5;6374;410;5964;873;15
BRGRAZ12;1000;Ries;SPÖ;Sozialdemokratische Partei Österreichs;1;2942;228;2714;349;9
BRGRAZ12;1000;Ries;ÖVP;Österreichische Volkspartei;2;2942;228;2714;1252;9
BRGRAZ12;1000;Ries;FPÖ;Freiheitliche Partei Österreichs;3;2942;228;2714;272;9
BRGRAZ12;1000;Ries;GRÜNE;Die Grünen - Die Grüne Alternative;4;2942;228;2714;449;9
BRGRAZ12;1000;Ries;KPÖ;Kommunistische Partei Österreichs;5;2942;228;2714;392;9
BRGRAZ12;1100;Mariatrost;SPÖ;Sozialdemokratische Partei Österreichs;1;4863;252;4611;411;11
BRGRAZ12;1100;Mariatrost;ÖVP;Österreichische Volkspartei;2;4863;252;4611;2341;11
BRGRAZ12;1100;Mariatrost;FPÖ;Freiheitliche Partei Österreichs;3;4863;252;4611;421;11
BRGRAZ12;1100;Mariatrost;GRÜNE;Die Grünen - Die Grüne Alternative;4;4863;252;4611;831;11
BRGRAZ12;1100;Mariatrost;KPÖ;Kommunistische Partei Österreichs;5;4863;252;4611;607;11
BRGRAZ12;1200;Andritz;SPÖ;Sozialdemokratische Partei Österreichs;1;9896;541;9355;1918;21
BRGRAZ12;1200;Andritz;ÖVP;Österreichische Volkspartei;2;9896;541;9355;3658;21
BRGRAZ12;1200;Andritz;FPÖ;Freiheitliche Partei Österreichs;3;9896;541;9355;1026;21
BRGRAZ12;1200;Andritz;GRÜNE;Die Grünen - Die Grüne Alternative;4;9896;541;9355;1316;21
BRGRAZ12;1200;Andritz;KPÖ;Kommunistische Partei Österreichs;5;9896;541;9355;1437;21
BRGRAZ12;1300;Gösting;SPÖ;Sozialdemokratische Partei Österreichs;1;4183;327;3856;900;14
BRGRAZ12;1300;Gösting;ÖVP;Österreichische Volkspartei;2;4183;327;3856;1258;14
BRGRAZ12;1300;Gösting;FPÖ;Freiheitliche Partei Österreichs;3;4183;327;3856;747;14
BRGRAZ12;1300;Gösting;GRÜNE;Die Grünen - Die Grüne Alternative;4;4183;327;3856;315;14
BRGRAZ12;1300;Gösting;KPÖ;Kommunistische Partei Österreichs;5;4183;327;3856;636;14
BRGRAZ12;1400;Eggenberg;SPÖ;Sozialdemokratische Partei Österreichs;1;7809;526;7283;1395;21
BRGRAZ12;1400;Eggenberg;ÖVP;Österreichische Volkspartei;2;7809;526;7283;2303;21
BRGRAZ12;1400;Eggenberg;FPÖ;Freiheitliche Partei Österreichs;3;7809;526;7283;1331;21
BRGRAZ12;1400;Eggenberg;GRÜNE;Die Grünen - Die Grüne Alternative;4;7809;526;7283;863;21
BRGRAZ12;1400;Eggenberg;KPÖ;Kommunistische Partei Österreichs;5;7809;526;7283;1391;21
BRGRAZ12;1500;Wetzelsdorf;SPÖ;Sozialdemokratische Partei Österreichs;1;6401;480;5921;1330;18
BRGRAZ12;1500;Wetzelsdorf;ÖVP;Österreichische Volkspartei;2;6401;480;5921;1884;18
BRGRAZ12;1500;Wetzelsdorf;FPÖ;Freiheitliche Partei Österreichs;3;6401;480;5921;1159;18
BRGRAZ12;1500;Wetzelsdorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;6401;480;5921;439;18
BRGRAZ12;1500;Wetzelsdorf;KPÖ;Kommunistische Partei Österreichs;5;6401;480;5921;1109;18
BRGRAZ12;1600;Straßgang;SPÖ;Sozialdemokratische Partei Österreichs;1;6401;594;5807;1406;16
BRGRAZ12;1600;Straßgang;ÖVP;Österreichische Volkspartei;2;6401;594;5807;1994;16
BRGRAZ12;1600;Straßgang;FPÖ;Freiheitliche Partei Österreichs;3;6401;594;5807;1016;16
BRGRAZ12;1600;Straßgang;GRÜNE;Die Grünen - Die Grüne Alternative;4;6401;594;5807;416;16
BRGRAZ12;1600;Straßgang;KPÖ;Kommunistische Partei Österreichs;5;6401;594;5807;975;16
BRGRAZ12;1700;Puntigam;SPÖ;Sozialdemokratische Partei Österreichs;1;2887;274;2613;672;9
BRGRAZ12;1700;Puntigam;ÖVP;Österreichische Volkspartei;2;2887;274;2613;768;9
BRGRAZ12;1700;Puntigam;FPÖ;Freiheitliche Partei Österreichs;3;2887;274;2613;466;9
BRGRAZ12;1700;Puntigam;GRÜNE;Die Grünen - Die Grüne Alternative;4;2887;274;2613;218;9
BRGRAZ12;1700;Puntigam;KPÖ;Kommunistische Partei Österreichs;5;2887;274;2613;429;9
BRGRAZ12;1700;Puntigam;BZÖ;BZÖ Wir säubern Graz;6;2887;274;2613;60;9
