wkurz;sprengel;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;anzspr;aenderung_am;aenderung_durch
BRGRAZ12;0101;SPÖ;Sozialdemokratische Partei Österreichs;1;340;26;314;36;1;25.11.2012 06:39:20;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:39:27
BRGRAZ12;0101;ÖVP;Österreichische Volkspartei;2;340;26;314;97;1;25.11.2012 06:39:20;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:39:27
BRGRAZ12;0101;FPÖ;Freiheitliche Partei Österreichs;3;340;26;314;33;1;25.11.2012 06:39:20;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:39:27
BRGRAZ12;0101;GRÜNE;Die Grünen - Die Grüne Alternative;4;340;26;314;63;1;25.11.2012 06:39:20;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:39:27
BRGRAZ12;0101;KPÖ;Kommunistische Partei Österreichs;5;340;26;314;85;1;25.11.2012 06:39:20;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:39:27
BRGRAZ12;0102;SPÖ;Sozialdemokratische Partei Österreichs;1;393;36;357;38;1;25.11.2012 05:33:30;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T17:33:36
BRGRAZ12;0102;ÖVP;Österreichische Volkspartei;2;393;36;357;108;1;25.11.2012 05:33:30;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T17:33:36
BRGRAZ12;0102;FPÖ;Freiheitliche Partei Österreichs;3;393;36;357;42;1;25.11.2012 05:33:30;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T17:33:36
BRGRAZ12;0102;GRÜNE;Die Grünen - Die Grüne Alternative;4;393;36;357;91;1;25.11.2012 05:33:30;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T17:33:36
BRGRAZ12;0102;KPÖ;Kommunistische Partei Österreichs;5;393;36;357;78;1;25.11.2012 05:33:30;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T17:33:36
BRGRAZ12;0103;SPÖ;Sozialdemokratische Partei Österreichs;1;382;29;353;34;1;25.11.2012 06:56:07;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:56:14
BRGRAZ12;0103;ÖVP;Österreichische Volkspartei;2;382;29;353;124;1;25.11.2012 06:56:07;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:56:14
BRGRAZ12;0103;FPÖ;Freiheitliche Partei Österreichs;3;382;29;353;39;1;25.11.2012 06:56:07;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:56:14
BRGRAZ12;0103;GRÜNE;Die Grünen - Die Grüne Alternative;4;382;29;353;71;1;25.11.2012 06:56:07;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:56:14
BRGRAZ12;0103;KPÖ;Kommunistische Partei Österreichs;5;382;29;353;85;1;25.11.2012 06:56:07;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:56:14
BRGRAZ12;0104;SPÖ;Sozialdemokratische Partei Österreichs;1;370;30;340;33;1;25.11.2012 06:25:38;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:25:45
BRGRAZ12;0104;ÖVP;Österreichische Volkspartei;2;370;30;340;104;1;25.11.2012 06:25:38;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:25:45
BRGRAZ12;0104;FPÖ;Freiheitliche Partei Österreichs;3;370;30;340;34;1;25.11.2012 06:25:38;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:25:45
BRGRAZ12;0104;GRÜNE;Die Grünen - Die Grüne Alternative;4;370;30;340;77;1;25.11.2012 06:25:38;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:25:45
BRGRAZ12;0104;KPÖ;Kommunistische Partei Österreichs;5;370;30;340;92;1;25.11.2012 06:25:38;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:25:45
BRGRAZ12;0198;SPÖ;Sozialdemokratische Partei Österreichs;1;135;1;134;16;1;27.11.2012 08:42:55;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-27T08:42:57
BRGRAZ12;0198;ÖVP;Österreichische Volkspartei;2;135;1;134;57;1;27.11.2012 08:42:55;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-27T08:42:57
BRGRAZ12;0198;FPÖ;Freiheitliche Partei Österreichs;3;135;1;134;14;1;27.11.2012 08:42:55;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-27T08:42:57
BRGRAZ12;0198;GRÜNE;Die Grünen - Die Grüne Alternative;4;135;1;134;29;1;27.11.2012 08:42:55;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-27T08:42:57
BRGRAZ12;0198;KPÖ;Kommunistische Partei Österreichs;5;135;1;134;18;1;27.11.2012 08:42:55;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-27T08:42:57
BRGRAZ12;0199;SPÖ;Sozialdemokratische Partei Österreichs;1;219;3;216;15;1;26.11.2012 02:06:10;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-26T14:06:15
BRGRAZ12;0199;ÖVP;Österreichische Volkspartei;2;219;3;216;89;1;26.11.2012 02:06:10;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-26T14:06:15
BRGRAZ12;0199;FPÖ;Freiheitliche Partei Österreichs;3;219;3;216;24;1;26.11.2012 02:06:10;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-26T14:06:15
BRGRAZ12;0199;GRÜNE;Die Grünen - Die Grüne Alternative;4;219;3;216;47;1;26.11.2012 02:06:10;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-26T14:06:15
BRGRAZ12;0199;KPÖ;Kommunistische Partei Österreichs;5;219;3;216;41;1;26.11.2012 02:06:10;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-26T14:06:15
BRGRAZ12;0201;SPÖ;Sozialdemokratische Partei Österreichs;1;383;24;359;44;1;25.11.2012 07:04:20;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T19:04:27
BRGRAZ12;0201;ÖVP;Österreichische Volkspartei;2;383;24;359;119;1;25.11.2012 07:04:20;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T19:04:27
BRGRAZ12;0201;FPÖ;Freiheitliche Partei Österreichs;3;383;24;359;52;1;25.11.2012 07:04:20;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T19:04:27
BRGRAZ12;0201;GRÜNE;Die Grünen - Die Grüne Alternative;4;383;24;359;59;1;25.11.2012 07:04:20;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T19:04:27
BRGRAZ12;0201;KPÖ;Kommunistische Partei Österreichs;5;383;24;359;85;1;25.11.2012 07:04:20;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T19:04:27
BRGRAZ12;0202;SPÖ;Sozialdemokratische Partei Österreichs;1;485;46;439;48;1;25.11.2012 07:12:52;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T19:13:00
BRGRAZ12;0202;ÖVP;Österreichische Volkspartei;2;485;46;439;159;1;25.11.2012 07:12:52;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T19:13:00
BRGRAZ12;0202;FPÖ;Freiheitliche Partei Österreichs;3;485;46;439;101;1;25.11.2012 07:12:52;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T19:13:00
BRGRAZ12;0202;GRÜNE;Die Grünen - Die Grüne Alternative;4;485;46;439;80;1;25.11.2012 07:12:52;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T19:13:00
BRGRAZ12;0202;KPÖ;Kommunistische Partei Österreichs;5;485;46;439;51;1;25.11.2012 07:12:52;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T19:13:00
BRGRAZ12;0203;SPÖ;Sozialdemokratische Partei Österreichs;1;413;45;368;53;1;25.11.2012 07:07:24;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:07:32
BRGRAZ12;0203;ÖVP;Österreichische Volkspartei;2;413;45;368;113;1;25.11.2012 07:07:24;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:07:32
BRGRAZ12;0203;FPÖ;Freiheitliche Partei Österreichs;3;413;45;368;45;1;25.11.2012 07:07:24;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:07:32
BRGRAZ12;0203;GRÜNE;Die Grünen - Die Grüne Alternative;4;413;45;368;74;1;25.11.2012 07:07:24;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:07:32
BRGRAZ12;0203;KPÖ;Kommunistische Partei Österreichs;5;413;45;368;83;1;25.11.2012 07:07:24;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:07:32
BRGRAZ12;0204;SPÖ;Sozialdemokratische Partei Österreichs;1;438;22;416;46;1;25.11.2012 07:14:52;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:15:00
BRGRAZ12;0204;ÖVP;Österreichische Volkspartei;2;438;22;416;137;1;25.11.2012 07:14:52;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:15:00
BRGRAZ12;0204;FPÖ;Freiheitliche Partei Österreichs;3;438;22;416;42;1;25.11.2012 07:14:52;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:15:00
BRGRAZ12;0204;GRÜNE;Die Grünen - Die Grüne Alternative;4;438;22;416;109;1;25.11.2012 07:14:52;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:15:00
BRGRAZ12;0204;KPÖ;Kommunistische Partei Österreichs;5;438;22;416;82;1;25.11.2012 07:14:52;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:15:00
BRGRAZ12;0205;SPÖ;Sozialdemokratische Partei Österreichs;1;399;37;362;36;1;25.11.2012 06:18:24;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:18:31
BRGRAZ12;0205;ÖVP;Österreichische Volkspartei;2;399;37;362;135;1;25.11.2012 06:18:24;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:18:31
BRGRAZ12;0205;FPÖ;Freiheitliche Partei Österreichs;3;399;37;362;35;1;25.11.2012 06:18:24;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:18:31
BRGRAZ12;0205;GRÜNE;Die Grünen - Die Grüne Alternative;4;399;37;362;86;1;25.11.2012 06:18:24;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:18:31
BRGRAZ12;0205;KPÖ;Kommunistische Partei Österreichs;5;399;37;362;70;1;25.11.2012 06:18:24;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:18:31
BRGRAZ12;0206;SPÖ;Sozialdemokratische Partei Österreichs;1;453;18;435;37;1;25.11.2012 07:22:12;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T19:22:20
BRGRAZ12;0206;ÖVP;Österreichische Volkspartei;2;453;18;435;151;1;25.11.2012 07:22:12;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T19:22:20
BRGRAZ12;0206;FPÖ;Freiheitliche Partei Österreichs;3;453;18;435;32;1;25.11.2012 07:22:12;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T19:22:20
