wkurz;sprengel;wahlbe_gesamt;wahlbe_mann;wahlbe_frau
BRGRAZ12;0101;779;383;396
BRGRAZ12;0102;859;428;431
BRGRAZ12;0103;792;395;397
BRGRAZ12;0104;793;407;386
BRGRAZ12;0198;0;0;0
BRGRAZ12;0199;0;0;0
BRGRAZ12;0201;901;439;462
BRGRAZ12;0202;946;439;507
BRGRAZ12;0203;772;365;407
BRGRAZ12;0204;809;399;410
BRGRAZ12;0205;852;399;453
BRGRAZ12;0206;911;444;467
BRGRAZ12;0207;860;419;441
BRGRAZ12;0208;791;359;432
BRGRAZ12;0209;950;441;509
BRGRAZ12;0210;827;390;437
BRGRAZ12;0211;919;444;475
BRGRAZ12;0212;911;439;472
BRGRAZ12;0213;939;472;467
BRGRAZ12;0214;1037;506;531
BRGRAZ12;0215;720;282;438
BRGRAZ12;0298;0;0;0
BRGRAZ12;0299;0;0;0
BRGRAZ12;0301;940;429;511
BRGRAZ12;0302;855;395;460
BRGRAZ12;0303;873;417;456
BRGRAZ12;0304;786;336;450
BRGRAZ12;0305;883;369;514
BRGRAZ12;0306;843;376;467
BRGRAZ12;0307;849;370;479
BRGRAZ12;0308;837;407;430
BRGRAZ12;0309;825;372;453
BRGRAZ12;0310;799;375;424
BRGRAZ12;0311;809;371;438
BRGRAZ12;0312;739;309;430
BRGRAZ12;0313;901;409;492
BRGRAZ12;0314;899;411;488
BRGRAZ12;0315;876;410;466
BRGRAZ12;0316;773;332;441
BRGRAZ12;0317;1053;453;600
BRGRAZ12;0318;711;314;397
BRGRAZ12;0319;837;402;435
BRGRAZ12;0320;676;314;362
BRGRAZ12;0321;923;414;509
BRGRAZ12;0322;621;284;337
BRGRAZ12;0323;860;383;477
BRGRAZ12;0324;769;321;448
BRGRAZ12;0398;0;0;0
BRGRAZ12;0399;0;0;0
BRGRAZ12;0401;774;392;382
BRGRAZ12;0402;728;353;375
BRGRAZ12;0403;627;292;335
BRGRAZ12;0404;1188;611;577
BRGRAZ12;0405;711;337;374
BRGRAZ12;0406;825;412;413
BRGRAZ12;0407;699;360;339
BRGRAZ12;0408;737;343;394
BRGRAZ12;0409;640;292;348
BRGRAZ12;0410;897;412;485
BRGRAZ12;0411;757;351;406
BRGRAZ12;0412;794;389;405
BRGRAZ12;0413;855;424;431
BRGRAZ12;0414;677;323;354
BRGRAZ12;0415;1141;541;600
BRGRAZ12;0416;566;237;329
BRGRAZ12;0417;752;328;424
BRGRAZ12;0418;625;266;359
BRGRAZ12;0419;959;447;512
BRGRAZ12;0420;767;379;388
BRGRAZ12;0421;1359;690;669
BRGRAZ12;0422;785;383;402
BRGRAZ12;0423;705;337;368
BRGRAZ12;0424;804;384;420
BRGRAZ12;0425;672;302;370
BRGRAZ12;0426;798;361;437
BRGRAZ12;0498;0;0;0
BRGRAZ12;0499;0;0;0
BRGRAZ12;0501;913;459;454
BRGRAZ12;0502;1070;508;562
BRGRAZ12;0503;853;405;448
BRGRAZ12;0504;764;355;409
BRGRAZ12;0505;645;336;309
BRGRAZ12;0506;778;381;397
BRGRAZ12;0507;784;404;380
BRGRAZ12;0508;912;463;449
BRGRAZ12;0509;829;388;441
BRGRAZ12;0510;764;398;366
BRGRAZ12;0511;714;355;359
BRGRAZ12;0512;769;388;381
BRGRAZ12;0513;745;410;335
BRGRAZ12;0514;711;367;344
BRGRAZ12;0515;711;359;352
BRGRAZ12;0516;697;346;351
BRGRAZ12;0517;606;299;307
BRGRAZ12;0518;764;389;375
BRGRAZ12;0519;580;271;309
BRGRAZ12;0520;625;332;293
BRGRAZ12;0521;650;330;320
BRGRAZ12;0522;573;248;325
BRGRAZ12;0523;612;292;320
BRGRAZ12;0524;690;369;321
BRGRAZ12;0598;0;0;0
