wkurz;sprengel;wahlbe_gesamt;wahlbe_mann;wahlbe_frau
LT2010;101;678;334;344
LT2010;102;743;383;360
LT2010;103;685;336;349
LT2010;104;697;346;351
LT2010;201;783;369;414
LT2010;202;902;409;493
LT2010;203;691;332;359
LT2010;204;768;357;411
LT2010;205;773;367;406
LT2010;206;789;410;379
LT2010;207;763;357;406
LT2010;208;753;344;409
LT2010;209;844;387;457
LT2010;210;762;370;392
LT2010;211;776;379;397
LT2010;212;778;352;426
LT2010;213;764;368;396
LT2010;214;881;418;463
LT2010;215;711;259;452
LT2010;301;783;373;410
LT2010;302;719;335;384
LT2010;303;759;347;412
LT2010;304;763;326;437
LT2010;305;842;350;492
LT2010;306;764;342;422
LT2010;307;738;306;432
LT2010;308;765;369;396
LT2010;309;739;350;389
LT2010;310;732;339;393
LT2010;311;717;320;397
LT2010;312;697;295;402
LT2010;313;798;351;447
LT2010;314;838;378;460
LT2010;315;811;372;439
LT2010;316;684;295;389
LT2010;317;881;383;498
LT2010;318;687;304;383
LT2010;319;810;379;431
LT2010;320;649;290;359
LT2010;321;827;363;464
LT2010;322;607;277;330
LT2010;323;745;333;412
LT2010;324;698;299;399
LT2010;401;662;324;338
LT2010;402;604;281;323
LT2010;403;571;260;311
LT2010;404;783;347;436
LT2010;405;653;303;350
LT2010;406;581;285;296
LT2010;407;683;347;336
LT2010;408;707;340;367
LT2010;409;632;277;355
LT2010;410;881;390;491
LT2010;411;707;337;370
LT2010;412;654;313;341
LT2010;413;685;325;360
LT2010;414;593;273;320
LT2010;415;980;463;517
LT2010;416;563;238;325
LT2010;417;646;276;370
LT2010;418;620;264;356
LT2010;419;702;314;388
LT2010;420;654;316;338
LT2010;421;875;435;440
LT2010;422;691;344;347
LT2010;423;651;290;361
LT2010;424;710;326;384
LT2010;425;640;294;346
LT2010;426;695;310;385
LT2010;501;708;355;353
LT2010;502;747;353;394
LT2010;503;726;357;369
LT2010;504;726;337;389
LT2010;505;681;370;311
LT2010;506;680;320;360
LT2010;507;704;355;349
LT2010;508;734;367;367
LT2010;509;729;321;408
LT2010;510;654;345;309
LT2010;511;658;321;337
LT2010;512;646;331;315
LT2010;513;729;414;315
LT2010;514;660;323;337
LT2010;515;649;331;318
LT2010;516;657;322;335
LT2010;517;578;288;290
LT2010;518;642;312;330
LT2010;519;581;269;312
LT2010;520;587;291;296
LT2010;521;569;271;298
LT2010;522;563;239;324
LT2010;523;589;270;319
LT2010;524;584;292;292
LT2010;601;792;375;417
LT2010;602;741;357;384
LT2010;603;661;311;350
LT2010;604;684;319;365
LT2010;605;690;345;345
LT2010;606;763;392;371
LT2010;607;736;361;375
LT2010;608;779;366;413
LT2010;609;777;365;412
LT2010;610;687;337;350
LT2010;611;832;446;386
LT2010;612;690;342;348
LT2010;613;701;324;377
LT2010;614;690;366;324
LT2010;615;729;341;388
LT2010;616;769;359;410
LT2010;617;679;310;369
LT2010;618;907;444;463
LT2010;619;721;321;400
LT2010;620;756;372;384
LT2010;621;611;291;320
LT2010;622;636;300;336
LT2010;623;887;424;463
LT2010;624;617;300;317
LT2010;625;598;278;320
LT2010;626;716;311;405
LT2010;627;650;323;327
LT2010;628;632;278;354
LT2010;629;545;259;286
LT2010;630;739;350;389
LT2010;631;637;311;326
LT2010;701;643;281;362
LT2010;702;593;269;324
LT2010;703;733;330;403
LT2010;704;698;354;344
LT2010;705;748;375;373
LT2010;706;819;385;434
LT2010;707;707;341;366
LT2010;708;741;343;398
LT2010;709;601;283;318
LT2010;710;724;346;378
LT2010;711;686;338;348
LT2010;712;661;315;346
LT2010;713;730;339;391
LT2010;714;638;311;327
