wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
LT2010;0100;Innere Stadt;SPÖ;Sozialdemokratische Partei Österreichs;1;1292;20;1272;328;4
LT2010;0100;Innere Stadt;ÖVP;Österreichische Volkspartei;2;1292;20;1272;386;4
LT2010;0100;Innere Stadt;KPÖ;Kommunistische Partei Österreichs;3;1292;20;1272;151;4
LT2010;0100;Innere Stadt;GRÜNE;Die Grünen - Die Grüne Alternative;4;1292;20;1272;236;4
LT2010;0100;Innere Stadt;FPÖ;Freiheitliche Partei Österreichs;5;1292;20;1272;109;4
LT2010;0100;Innere Stadt;BZÖ;Bündnis Zukunft Österreich;6;1292;20;1272;51;4
LT2010;0100;Innere Stadt;CPÖ;Christliche Partei Österreichs;8;1292;20;1272;11;4
LT2010;0200;St Leonhard;SPÖ;Sozialdemokratische Partei Österreichs;1;5799;93;5706;1389;15
LT2010;0200;St Leonhard;ÖVP;Österreichische Volkspartei;2;5799;93;5706;1773;15
LT2010;0200;St Leonhard;KPÖ;Kommunistische Partei Österreichs;3;5799;93;5706;675;15
LT2010;0200;St Leonhard;GRÜNE;Die Grünen - Die Grüne Alternative;4;5799;93;5706;1181;15
LT2010;0200;St Leonhard;FPÖ;Freiheitliche Partei Österreichs;5;5799;93;5706;504;15
LT2010;0200;St Leonhard;BZÖ;Bündnis Zukunft Österreich;6;5799;93;5706;129;15
LT2010;0200;St Leonhard;CPÖ;Christliche Partei Österreichs;8;5799;93;5706;55;15
LT2010;0300;Geidorf;SPÖ;Sozialdemokratische Partei Österreichs;1;9034;149;8885;2230;24
LT2010;0300;Geidorf;ÖVP;Österreichische Volkspartei;2;9034;149;8885;2997;24
LT2010;0300;Geidorf;KPÖ;Kommunistische Partei Österreichs;3;9034;149;8885;902;24
LT2010;0300;Geidorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;9034;149;8885;1660;24
LT2010;0300;Geidorf;FPÖ;Freiheitliche Partei Österreichs;5;9034;149;8885;763;24
LT2010;0300;Geidorf;BZÖ;Bündnis Zukunft Österreich;6;9034;149;8885;228;24
LT2010;0300;Geidorf;CPÖ;Christliche Partei Österreichs;8;9034;149;8885;105;24
LT2010;0400;Lend;SPÖ;Sozialdemokratische Partei Österreichs;1;8197;96;8101;3219;26
LT2010;0400;Lend;ÖVP;Österreichische Volkspartei;2;8197;96;8101;1491;26
LT2010;0400;Lend;KPÖ;Kommunistische Partei Österreichs;3;8197;96;8101;896;26
LT2010;0400;Lend;GRÜNE;Die Grünen - Die Grüne Alternative;4;8197;96;8101;917;26
LT2010;0400;Lend;FPÖ;Freiheitliche Partei Österreichs;5;8197;96;8101;1181;26
LT2010;0400;Lend;BZÖ;Bündnis Zukunft Österreich;6;8197;96;8101;325;26
LT2010;0400;Lend;CPÖ;Christliche Partei Österreichs;8;8197;96;8101;72;26
LT2010;0500;Gries;SPÖ;Sozialdemokratische Partei Österreichs;1;6526;74;6452;2488;24
LT2010;0500;Gries;ÖVP;Österreichische Volkspartei;2;6526;74;6452;1254;24
LT2010;0500;Gries;KPÖ;Kommunistische Partei Österreichs;3;6526;74;6452;831;24
LT2010;0500;Gries;GRÜNE;Die Grünen - Die Grüne Alternative;4;6526;74;6452;662;24
LT2010;0500;Gries;FPÖ;Freiheitliche Partei Österreichs;5;6526;74;6452;938;24
