wkurz;sprengel;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen
LT2010;101;SPÖ;Sozialdemokratische Partei Österreichs;1;300;6;294;69
LT2010;101;ÖVP;Österreichische Volkspartei;2;300;6;294;83
LT2010;101;KPÖ;Kommunistische Partei Österreichs;3;300;6;294;42
LT2010;101;GRÜNE;Die Grünen - Die Grüne Alternative;4;300;6;294;62
LT2010;101;FPÖ;Freiheitliche Partei Österreichs;5;300;6;294;21
LT2010;101;BZÖ;Bündnis Zukunft Österreich;6;300;6;294;16
LT2010;101;CPÖ;Christliche Partei Österreichs;8;300;6;294;1
LT2010;102;SPÖ;Sozialdemokratische Partei Österreichs;1;335;6;329;92
LT2010;102;ÖVP;Österreichische Volkspartei;2;335;6;329;97
LT2010;102;KPÖ;Kommunistische Partei Österreichs;3;335;6;329;40
LT2010;102;GRÜNE;Die Grünen - Die Grüne Alternative;4;335;6;329;49
LT2010;102;FPÖ;Freiheitliche Partei Österreichs;5;335;6;329;39
LT2010;102;BZÖ;Bündnis Zukunft Österreich;6;335;6;329;10
LT2010;102;CPÖ;Christliche Partei Österreichs;8;335;6;329;2
LT2010;103;SPÖ;Sozialdemokratische Partei Österreichs;1;349;5;344;92
LT2010;103;ÖVP;Österreichische Volkspartei;2;349;5;344;120
LT2010;103;KPÖ;Kommunistische Partei Österreichs;3;349;5;344;38
LT2010;103;GRÜNE;Die Grünen - Die Grüne Alternative;4;349;5;344;58
LT2010;103;FPÖ;Freiheitliche Partei Österreichs;5;349;5;344;21
LT2010;103;BZÖ;Bündnis Zukunft Österreich;6;349;5;344;12
LT2010;103;CPÖ;Christliche Partei Österreichs;8;349;5;344;3
LT2010;104;SPÖ;Sozialdemokratische Partei Österreichs;1;308;3;305;75
LT2010;104;ÖVP;Österreichische Volkspartei;2;308;3;305;86
LT2010;104;KPÖ;Kommunistische Partei Österreichs;3;308;3;305;31
LT2010;104;GRÜNE;Die Grünen - Die Grüne Alternative;4;308;3;305;67
LT2010;104;FPÖ;Freiheitliche Partei Österreichs;5;308;3;305;28
LT2010;104;BZÖ;Bündnis Zukunft Österreich;6;308;3;305;13
LT2010;104;CPÖ;Christliche Partei Österreichs;8;308;3;305;5
LT2010;201;SPÖ;Sozialdemokratische Partei Österreichs;1;337;3;334;103
LT2010;201;ÖVP;Österreichische Volkspartei;2;337;3;334;89
LT2010;201;KPÖ;Kommunistische Partei Österreichs;3;337;3;334;40
LT2010;201;GRÜNE;Die Grünen - Die Grüne Alternative;4;337;3;334;53
LT2010;201;FPÖ;Freiheitliche Partei Österreichs;5;337;3;334;31
LT2010;201;BZÖ;Bündnis Zukunft Österreich;6;337;3;334;11
LT2010;201;CPÖ;Christliche Partei Österreichs;8;337;3;334;7
LT2010;202;SPÖ;Sozialdemokratische Partei Österreichs;1;487;3;484;115
LT2010;202;ÖVP;Österreichische Volkspartei;2;487;3;484;161
LT2010;202;KPÖ;Kommunistische Partei Österreichs;3;487;3;484;55
LT2010;202;GRÜNE;Die Grünen - Die Grüne Alternative;4;487;3;484;77
LT2010;202;FPÖ;Freiheitliche Partei Österreichs;5;487;3;484;51
LT2010;202;BZÖ;Bündnis Zukunft Österreich;6;487;3;484;18
LT2010;202;CPÖ;Christliche Partei Österreichs;8;487;3;484;7
LT2010;203;SPÖ;Sozialdemokratische Partei Österreichs;1;358;4;354;127
LT2010;203;ÖVP;Österreichische Volkspartei;2;358;4;354;78
LT2010;203;KPÖ;Kommunistische Partei Österreichs;3;358;4;354;36
LT2010;203;GRÜNE;Die Grünen - Die Grüne Alternative;4;358;4;354;64
LT2010;203;FPÖ;Freiheitliche Partei Österreichs;5;358;4;354;42
LT2010;203;BZÖ;Bündnis Zukunft Österreich;6;358;4;354;7
LT2010;203;CPÖ;Christliche Partei Österreichs;8;358;4;354;0
LT2010;204;SPÖ;Sozialdemokratische Partei Österreichs;1;386;3;383;108
LT2010;204;ÖVP;Österreichische Volkspartei;2;386;3;383;104
LT2010;204;KPÖ;Kommunistische Partei Österreichs;3;386;3;383;47
LT2010;204;GRÜNE;Die Grünen - Die Grüne Alternative;4;386;3;383;87
LT2010;204;FPÖ;Freiheitliche Partei Österreichs;5;386;3;383;29
LT2010;204;BZÖ;Bündnis Zukunft Österreich;6;386;3;383;2
LT2010;204;CPÖ;Christliche Partei Österreichs;8;386;3;383;6
LT2010;205;SPÖ;Sozialdemokratische Partei Österreichs;1;399;4;395;85
LT2010;205;ÖVP;Österreichische Volkspartei;2;399;4;395;119
LT2010;205;KPÖ;Kommunistische Partei Österreichs;3;399;4;395;58
LT2010;205;GRÜNE;Die Grünen - Die Grüne Alternative;4;399;4;395;74
LT2010;205;FPÖ;Freiheitliche Partei Österreichs;5;399;4;395;49
LT2010;205;BZÖ;Bündnis Zukunft Österreich;6;399;4;395;9
LT2010;205;CPÖ;Christliche Partei Österreichs;8;399;4;395;1
LT2010;206;SPÖ;Sozialdemokratische Partei Österreichs;1;383;12;371;84
LT2010;206;ÖVP;Österreichische Volkspartei;2;383;12;371;109
LT2010;206;KPÖ;Kommunistische Partei Österreichs;3;383;12;371;56
LT2010;206;GRÜNE;Die Grünen - Die Grüne Alternative;4;383;12;371;87
LT2010;206;FPÖ;Freiheitliche Partei Österreichs;5;383;12;371;26
LT2010;206;BZÖ;Bündnis Zukunft Österreich;6;383;12;371;8
LT2010;206;CPÖ;Christliche Partei Österreichs;8;383;12;371;1
LT2010;207;SPÖ;Sozialdemokratische Partei Österreichs;1;390;5;385;103
LT2010;207;ÖVP;Österreichische Volkspartei;2;390;5;385;94
LT2010;207;KPÖ;Kommunistische Partei Österreichs;3;390;5;385;46
LT2010;207;GRÜNE;Die Grünen - Die Grüne Alternative;4;390;5;385;94
LT2010;207;FPÖ;Freiheitliche Partei Österreichs;5;390;5;385;31
LT2010;207;BZÖ;Bündnis Zukunft Österreich;6;390;5;385;17
LT2010;207;CPÖ;Christliche Partei Österreichs;8;390;5;385;0
LT2010;208;SPÖ;Sozialdemokratische Partei Österreichs;1;414;9;405;83
LT2010;208;ÖVP;Österreichische Volkspartei;2;414;9;405;122
LT2010;208;KPÖ;Kommunistische Partei Österreichs;3;414;9;405;50
LT2010;208;GRÜNE;Die Grünen - Die Grüne Alternative;4;414;9;405;110
LT2010;208;FPÖ;Freiheitliche Partei Österreichs;5;414;9;405;30
LT2010;208;BZÖ;Bündnis Zukunft Österreich;6;414;9;405;6
LT2010;208;CPÖ;Christliche Partei Österreichs;8;414;9;405;4
LT2010;209;SPÖ;Sozialdemokratische Partei Österreichs;1;453;8;445;95
LT2010;209;ÖVP;Österreichische Volkspartei;2;453;8;445;183
LT2010;209;KPÖ;Kommunistische Partei Österreichs;3;453;8;445;44
LT2010;209;GRÜNE;Die Grünen - Die Grüne Alternative;4;453;8;445;69
LT2010;209;FPÖ;Freiheitliche Partei Österreichs;5;453;8;445;36
LT2010;209;BZÖ;Bündnis Zukunft Österreich;6;453;8;445;13
LT2010;209;CPÖ;Christliche Partei Österreichs;8;453;8;445;5
LT2010;210;SPÖ;Sozialdemokratische Partei Österreichs;1;385;9;376;72
LT2010;210;ÖVP;Österreichische Volkspartei;2;385;9;376;134
LT2010;210;KPÖ;Kommunistische Partei Österreichs;3;385;9;376;36
LT2010;210;GRÜNE;Die Grünen - Die Grüne Alternative;4;385;9;376;90
LT2010;210;FPÖ;Freiheitliche Partei Österreichs;5;385;9;376;37
LT2010;210;BZÖ;Bündnis Zukunft Österreich;6;385;9;376;4
LT2010;210;CPÖ;Christliche Partei Österreichs;8;385;9;376;3
LT2010;211;SPÖ;Sozialdemokratische Partei Österreichs;1;361;4;357;83
LT2010;211;ÖVP;Österreichische Volkspartei;2;361;4;357;115
LT2010;211;KPÖ;Kommunistische Partei Österreichs;3;361;4;357;30
LT2010;211;GRÜNE;Die Grünen - Die Grüne Alternative;4;361;4;357;89
LT2010;211;FPÖ;Freiheitliche Partei Österreichs;5;361;4;357;31
LT2010;211;BZÖ;Bündnis Zukunft Österreich;6;361;4;357;9
LT2010;211;CPÖ;Christliche Partei Österreichs;8;361;4;357;0
LT2010;212;SPÖ;Sozialdemokratische Partei Österreichs;1;355;4;351;79
LT2010;212;ÖVP;Österreichische Volkspartei;2;355;4;351;109
LT2010;212;KPÖ;Kommunistische Partei Österreichs;3;355;4;351;53
LT2010;212;GRÜNE;Die Grünen - Die Grüne Alternative;4;355;4;351;76
LT2010;212;FPÖ;Freiheitliche Partei Österreichs;5;355;4;351;24
LT2010;212;BZÖ;Bündnis Zukunft Österreich;6;355;4;351;10
LT2010;212;CPÖ;Christliche Partei Österreichs;8;355;4;351;0
LT2010;213;SPÖ;Sozialdemokratische Partei Österreichs;1;354;9;345;85
LT2010;213;ÖVP;Österreichische Volkspartei;2;354;9;345;88
LT2010;213;KPÖ;Kommunistische Partei Österreichs;3;354;9;345;55
LT2010;213;GRÜNE;Die Grünen - Die Grüne Alternative;4;354;9;345;86
LT2010;213;FPÖ;Freiheitliche Partei Österreichs;5;354;9;345;22
LT2010;213;BZÖ;Bündnis Zukunft Österreich;6;354;9;345;4
LT2010;213;CPÖ;Christliche Partei Österreichs;8;354;9;345;5
LT2010;214;SPÖ;Sozialdemokratische Partei Österreichs;1;393;10;383;90
LT2010;214;ÖVP;Österreichische Volkspartei;2;393;10;383;126
LT2010;214;KPÖ;Kommunistische Partei Österreichs;3;393;10;383;46
LT2010;214;GRÜNE;Die Grünen - Die Grüne Alternative;4;393;10;383;72
LT2010;214;FPÖ;Freiheitliche Partei Österreichs;5;393;10;383;36
LT2010;214;BZÖ;Bündnis Zukunft Österreich;6;393;10;383;8
LT2010;214;CPÖ;Christliche Partei Österreichs;8;393;10;383;5
LT2010;215;SPÖ;Sozialdemokratische Partei Österreichs;1;344;6;338;77
LT2010;215;ÖVP;Österreichische Volkspartei;2;344;6;338;142
LT2010;215;KPÖ;Kommunistische Partei Österreichs;3;344;6;338;23
LT2010;215;GRÜNE;Die Grünen - Die Grüne Alternative;4;344;6;338;53
LT2010;215;FPÖ;Freiheitliche Partei Österreichs;5;344;6;338;29
LT2010;215;BZÖ;Bündnis Zukunft Österreich;6;344;6;338;3
LT2010;215;CPÖ;Christliche Partei Österreichs;8;344;6;338;11
LT2010;301;SPÖ;Sozialdemokratische Partei Österreichs;1;332;2;330;87
LT2010;301;ÖVP;Österreichische Volkspartei;2;332;2;330;116
LT2010;301;KPÖ;Kommunistische Partei Österreichs;3;332;2;330;30
